date,session_key,meeting_key,stop_duration,lane_duration,lap_number,driver_number,pit_duration
2026-06-26T11:48:13.766000+00:00,11308,1288,,,1,3,
2026-06-26T11:48:29.448000+00:00,11308,1288,,802.0,3,81,802.0
2026-06-26T11:48:58.352000+00:00,11308,1288,,448.6,8,41,448.6
2026-06-26T11:49:05.827000+00:00,11308,1288,,772.1,5,44,772.1
2026-06-26T11:49:38.852000+00:00,11308,1288,,47.6,9,87,47.6
2026-06-26T11:50:03.727000+00:00,11308,1288,,465.7,7,50,465.7
2026-06-26T11:51:34.427000+00:00,11308,1288,,296.2,6,90,296.2
2026-06-26T11:51:41.061000+00:00,11308,1288,,695.8,4,46,695.8
2026-06-26T11:51:43.655000+00:00,11308,1288,,801.5,7,11,801.5
2026-06-26T11:52:30.048000+00:00,11308,1288,,644.6,8,77,644.6
2026-06-26T11:52:53.419000+00:00,11308,1288,,27.0,4,3,27.0
2026-06-26T11:54:38.661000+00:00,11308,1288,,663.7,9,14,663.7
2026-06-26T11:54:42.870000+00:00,11308,1288,,30.1,11,10,30.1
2026-06-26T11:56:07.898000+00:00,11308,1288,,50.0,8,81,50.0
2026-06-26T11:57:38.687000+00:00,11308,1288,,364.9,13,12,364.9
2026-06-26T11:57:58.736000+00:00,11308,1288,,347.1,13,63,347.1
2026-06-26T11:59:00.943000+00:00,11308,1288,,434.0,14,27,434.0
2026-06-26T11:59:08.121000+00:00,11308,1288,,631.3,11,34,631.3
2026-06-26T12:00:44.639000+00:00,11308,1288,,236.3,12,50,236.3
2026-06-26T12:02:06.334000+00:00,11308,1288,,705.1,13,43,705.1
2026-06-26T12:02:48.333000+00:00,11308,1288,,494.6,17,23,494.6
2026-06-26T12:02:57.352000+00:00,11308,1288,,287.2,14,41,287.2
2026-06-26T12:03:50.996000+00:00,11308,1288,,,1,6,
2026-06-26T12:04:19.885000+00:00,11308,1288,,317.9,14,10,317.9
2026-06-26T12:05:23.727000+00:00,11308,1288,,638.5,8,90,638.5
2026-06-26T12:05:57.046000+00:00,11308,1288,,154.4,17,27,154.4
2026-06-26T12:06:56.864000+00:00,11308,1288,,501.6,11,97,501.6
2026-06-26T12:07:18.292000+00:00,11308,1288,,32.1,16,43,32.1
2026-06-26T12:07:54.337000+00:00,11308,1288,,361.0,16,12,361.0
2026-06-26T12:08:15.697000+00:00,11308,1288,,31.4,15,46,31.4
2026-06-26T12:09:02.702000+00:00,11308,1288,,26.6,4,6,26.6
2026-06-26T12:09:20.979000+00:00,11308,1288,,327.1,15,44,327.1
2026-06-26T12:10:11.702000+00:00,11308,1288,,748.5,11,11,748.5
2026-06-26T12:11:46.138000+00:00,11308,1288,,638.3,16,87,638.3
2026-06-26T12:12:03.014000+00:00,11308,1288,,27.1,19,43,27.1
2026-06-26T12:12:06.156000+00:00,11308,1288,,733.3,13,77,733.3
2026-06-26T12:12:08.492000+00:00,11308,1288,,740.0,15,38,740.0
2026-06-26T12:12:23.170000+00:00,11308,1288,,293.7,19,63,293.7
2026-06-26T12:12:32.328000+00:00,11308,1288,,455.0,14,81,455.0
2026-06-26T12:14:44.916000+00:00,11308,1288,,17.8,19,46,17.8
2026-06-26T12:15:20.117000+00:00,11308,1288,,323.0,20,27,323.0
2026-06-26T12:15:24.543000+00:00,11308,1288,,665.3,16,14,665.3
2026-06-26T12:15:35.723000+00:00,11308,1288,,,1,1,
2026-06-26T12:15:43.090000+00:00,11308,1288,,720.8,11,3,720.8
2026-06-26T12:16:21.787000+00:00,11308,1288,,274.2,19,10,274.2
2026-06-26T12:16:53.603000+00:00,11308,1288,,440.8,18,50,440.8
2026-06-26T12:18:30.211000+00:00,11308,1288,,32.4,21,46,32.4
2026-06-26T12:18:42.875000+00:00,11308,1288,,429.1,23,23,429.1
2026-06-26T12:19:04.202000+00:00,11308,1288,,386.0,6,6,386.0
2026-06-26T12:19:08.544000+00:00,11308,1288,,339.2,20,43,339.2
2026-06-26T12:19:27.658000+00:00,11308,1288,,210.2,19,87,210.2
2026-06-26T12:20:13.183000+00:00,11308,1288,,630.0,18,34,630.0
2026-06-26T12:20:26.925000+00:00,11308,1288,,26.3,19,14,26.3
2026-06-26T12:21:25.651000+00:00,11308,1288,,22.6,20,81,22.6
2026-06-26T12:21:28.382000+00:00,11308,1288,,428.9,14,90,428.9
2026-06-26T12:21:30.932000+00:00,11308,1288,,319.0,16,77,319.0
2026-06-26T12:22:58.601000+00:00,11308,1288,,277.8,21,44,277.8
2026-06-26T12:23:05.250000+00:00,11308,1288,,438.7,17,97,438.7
2026-06-26T12:23:10.534000+00:00,11308,1288,,28.9,6,1,28.9
2026-06-26T12:23:16.256000+00:00,11308,1288,,90.4,21,50,90.4
2026-06-26T12:24:14.083000+00:00,11308,1288,,276.9,14,3,276.9
2026-06-26T12:25:34.523000+00:00,11308,1288,,1117.7,17,41,1117.7
2026-06-26T12:25:52.894000+00:00,11308,1288,,744.2,13,11,744.2
2026-06-26T12:26:53.097000+00:00,11308,1288,,29.2,22,34,29.2
