date,session_key,driver_number,meeting_key,pit_duration,lap_number,stop_duration,lane_duration
2026-03-28T06:47:38.822000+00:00,11249,10,1281,380.2,13,,380.2
2026-03-28T06:47:46.969000+00:00,11249,41,1281,364.2,16,,364.2
2026-03-28T06:48:08.090000+00:00,11249,1,1281,435.5,15,,435.5
2026-03-28T06:48:17.954000+00:00,11249,81,1281,441.0,15,,441.0
2026-03-28T06:48:28.105000+00:00,11249,44,1281,370.4,15,,370.4
2026-03-28T06:48:35.390000+00:00,11249,16,1281,582.2,13,,582.2
2026-03-28T06:48:47.621000+00:00,11249,6,1281,489.3,13,,489.3
2026-03-28T06:56:20.999000+00:00,11249,12,1281,246.8,13,,246.8
2026-03-28T06:56:26.084000+00:00,11249,63,1281,242.2,19,,242.2
2026-03-28T06:56:29.661000+00:00,11249,1,1281,202.1,18,,202.1
2026-03-28T06:56:34.602000+00:00,11249,81,1281,195.8,18,,195.8
2026-03-28T06:56:46.456000+00:00,11249,6,1281,179.7,16,,179.7
2026-03-28T06:57:01.403000+00:00,11249,44,1281,213.5,18,,213.5
2026-03-28T06:57:09.973000+00:00,11249,5,1281,267.4,18,,267.4
2026-03-28T06:57:16.577000+00:00,11249,41,1281,261.2,19,,261.2
2026-03-28T06:57:24.510000+00:00,11249,10,1281,272.1,16,,272.1
2026-03-28T06:57:32.097000+00:00,11249,16,1281,237.0,16,,237.0
