date,session_key,pit_duration,meeting_key,driver_number,stop_duration,lane_duration,lap_number
2026-05-01T16:53:42.626000+00:00,11270,625.8,1284,1,,625.8,17
2026-05-01T16:56:30.315000+00:00,11270,42.7,1284,18,,42.7,15
2026-05-01T16:57:18.152000+00:00,11270,544.5,1284,55,,544.5,19
2026-05-01T16:59:57.466000+00:00,11270,2193.6,1284,5,,2193.6,13
2026-05-01T17:02:08.757000+00:00,11270,652.5,1284,23,,652.5,23
2026-05-01T17:02:27.951000+00:00,11270,628.6,1284,41,,628.6,25
2026-05-01T17:05:44.259000+00:00,11270,597.8,1284,87,,597.8,25
2026-05-01T17:06:03.785000+00:00,11270,498.4,1284,77,,498.4,21
2026-05-01T17:07:17.525000+00:00,11270,496.3,1284,30,,496.3,29
2026-05-01T17:08:38.060000+00:00,11270,611.2,1284,31,,611.2,24
2026-05-01T17:15:23.051000+00:00,11270,31.8,1284,30,,31.8,33
2026-05-01T17:15:28.560000+00:00,11270,589.3,1284,18,,589.3,20
2026-05-01T17:15:37.068000+00:00,11270,857.7,1284,63,,857.7,25
2026-05-01T17:16:13.192000+00:00,11270,476.2,1284,3,,476.2,31
2026-05-01T17:16:22.211000+00:00,11270,425.6,1284,81,,425.6,25
2026-05-01T17:16:28.910000+00:00,11270,138.9,1284,31,,138.9,27
2026-05-01T17:16:36.169000+00:00,11270,405.4,1284,16,,405.4,31
2026-05-01T17:16:41.714000+00:00,11270,309.3,1284,87,,309.3,28
2026-05-01T17:16:48.370000+00:00,11270,514.4,1284,27,,514.4,26
2026-05-01T17:16:56.323000+00:00,11270,503.2,1284,6,,503.2,31
2026-05-01T17:17:09.286000+00:00,11270,770.0,1284,10,,770.0,25
2026-05-01T17:17:43.421000+00:00,11270,571.5,1284,14,,571.5,21
2026-05-01T17:17:48.109000+00:00,11270,408.3,1284,5,,408.3,19
2026-05-01T17:18:02.648000+00:00,11270,483.7,1284,43,,483.7,25
2026-05-01T17:18:35.803000+00:00,11270,515.0,1284,44,,515.0,29
2026-05-01T17:19:52.073000+00:00,11270,594.9,1284,1,,594.9,27
2026-05-01T17:20:07.586000+00:00,11270,165.5,1284,41,,165.5,33
2026-05-01T17:20:15.305000+00:00,11270,719.0,1284,11,,719.0,18
2026-05-01T17:20:27.727000+00:00,11270,248.0,1284,77,,248.0,26
2026-05-01T17:21:19.927000+00:00,11270,17.1,1284,18,,17.1,23
2026-05-01T17:21:25.553000+00:00,11270,276.7,1284,23,,276.7,32
2026-05-01T17:21:53.892000+00:00,11270,382.4,1284,55,,382.4,30
2026-05-01T17:22:02.628000+00:00,11270,27.6,1284,63,,27.6,28
2026-05-01T17:23:11.697000+00:00,11270,31.5,1284,6,,31.5,34
2026-05-01T17:23:47.846000+00:00,11270,17.8,1284,5,,17.8,22
2026-05-01T17:25:19.331000+00:00,11270,130.8,1284,87,,130.8,31
2026-05-01T17:26:15.376000+00:00,11270,30.6,1284,11,,30.6,21
2026-05-01T17:27:04.551000+00:00,11270,268.2,1284,27,,268.2,29
2026-05-01T17:28:33.692000+00:00,11270,24.5,1284,43,,24.5,30
2026-05-01T17:28:54.941000+00:00,11270,249.5,1284,30,,249.5,38
2026-05-01T17:29:35.852000+00:00,11270,46.5,1284,10,,46.5,31
2026-05-01T17:29:53.569000+00:00,11270,123.6,1284,63,,123.6,31
