date,session_key,wind_speed,meeting_key,wind_direction,humidity,pressure,track_temperature,air_temperature,rainfall
2026-07-03T11:36:48.399000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.7,0
2026-07-03T11:37:48.399000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.5,0
2026-07-03T11:38:48.398000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.6,0
2026-07-03T11:39:48.401000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.6,0
2026-07-03T11:40:48.392000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.7,0
2026-07-03T11:41:48.415000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,21.2,0
2026-07-03T11:42:48.415000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,21.8,0
2026-07-03T11:43:48.447000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,21.6,0
2026-07-03T11:44:48.441000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,21.7,0
2026-07-03T11:45:48.444000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,21.8,0
2026-07-03T11:46:48.428000+00:00,11316,2.3,1289,237,49.5,1011.4,40.1,22.4,0
2026-07-03T11:47:48.447000+00:00,11316,3.3,1289,258,48.6,1011.5,39.6,21.5,0
2026-07-03T11:48:48.462000+00:00,11316,1.7,1289,246,49.2,1011.4,40.4,21.6,0
2026-07-03T11:49:48.475000+00:00,11316,1.7,1289,246,49.2,1011.4,40.4,22.0,0
2026-07-03T11:50:48.475000+00:00,11316,1.3,1289,144,48.1,1011.5,41.0,22.2,0
2026-07-03T11:51:48.484000+00:00,11316,1.3,1289,144,48.1,1011.5,41.0,22.0,0
2026-07-03T11:52:48.482000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.6,0
2026-07-03T11:53:48.478000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.8,0
2026-07-03T11:54:48.489000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.9,0
2026-07-03T11:55:48.487000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.8,0
2026-07-03T11:56:48.486000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.8,0
2026-07-03T11:57:48.477000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.9,0
2026-07-03T11:58:48.483000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.9,0
2026-07-03T11:59:48.492000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.9,0
2026-07-03T12:00:48.489000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,21.9,0
2026-07-03T12:01:48.492000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.3,0
2026-07-03T12:02:48.489000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.5,0
2026-07-03T12:03:48.492000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.2,0
2026-07-03T12:04:48.495000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.6,0
2026-07-03T12:05:48.492000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.4,0
2026-07-03T12:06:48.495000+00:00,11316,1.6,1289,270,48.8,1011.4,40.3,22.5,0
2026-07-03T12:07:48.491000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.6,0
2026-07-03T12:08:48.494000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.6,0
2026-07-03T12:09:48.497000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.8,0
2026-07-03T12:10:48.496000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.8,0
2026-07-03T12:11:48.506000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.9,0
2026-07-03T12:12:48.498000+00:00,11316,2.1,1289,247,46.2,1011.4,41.8,22.4,0
2026-07-03T12:13:48.479000+00:00,11316,1.2,1289,214,46.0,1011.5,42.9,22.6,0
2026-07-03T12:14:48.493000+00:00,11316,1.2,1289,214,46.0,1011.5,42.9,22.5,0
2026-07-03T12:15:48.494000+00:00,11316,0.0,1289,0,44.5,1011.6,42.5,22.3,0
2026-07-03T12:16:48.510000+00:00,11316,0.0,1289,0,44.5,1011.6,42.5,22.4,0
2026-07-03T12:17:48.513000+00:00,11316,0.0,1289,0,44.5,1011.6,42.5,22.5,0
2026-07-03T12:18:48.514000+00:00,11316,0.0,1289,0,44.5,1011.6,42.5,22.6,0
2026-07-03T12:19:48.516000+00:00,11316,2.9,1289,234,43.5,1011.5,42.7,22.6,0
2026-07-03T12:20:48.511000+00:00,11316,2.1,1289,282,44.0,1011.4,41.4,22.5,0
2026-07-03T12:21:48.531000+00:00,11316,2.3,1289,294,44.7,1011.4,41.3,22.5,0
2026-07-03T12:22:48.531000+00:00,11316,1.4,1289,171,45.8,1011.4,42.4,22.2,0
2026-07-03T12:23:48.556000+00:00,11316,2.1,1289,264,46.3,1011.3,42.3,22.3,0
2026-07-03T12:24:48.550000+00:00,11316,2.1,1289,264,46.3,1011.3,42.3,22.3,0
2026-07-03T12:25:48.550000+00:00,11316,2.1,1289,264,46.3,1011.3,42.3,22.6,0
2026-07-03T12:26:48.546000+00:00,11316,0.9,1289,209,45.4,1011.5,42.2,22.4,0
2026-07-03T12:27:48.543000+00:00,11316,0.9,1289,209,45.4,1011.5,42.2,22.6,0
2026-07-03T12:28:48.559000+00:00,11316,1.6,1289,258,45.9,1011.4,42.7,22.6,0
2026-07-03T12:29:48.558000+00:00,11316,1.6,1289,258,45.9,1011.4,42.7,22.9,0
2026-07-03T12:30:48.546000+00:00,11316,1.6,1289,258,45.9,1011.4,42.7,22.6,0
2026-07-03T12:31:48.546000+00:00,11316,1.6,1289,258,45.9,1011.4,42.7,23.2,0
2026-07-03T12:32:48.566000+00:00,11316,1.4,1289,279,44.0,1011.4,42.5,22.9,0
2026-07-03T12:33:48.552000+00:00,11316,1.5,1289,220,43.4,1011.5,42.7,23.3,0
2026-07-03T12:34:48.577000+00:00,11316,1.5,1289,220,43.4,1011.5,42.7,22.9,0
2026-07-03T12:35:48.587000+00:00,11316,2.9,1289,243,44.0,1011.3,42.8,22.9,0
2026-07-03T12:36:48.598000+00:00,11316,1.0,1289,271,44.0,1011.4,42.2,22.9,0
2026-07-03T12:37:48.595000+00:00,11316,3.5,1289,243,43.8,1011.4,43.0,23.1,0
2026-07-03T12:38:48.608000+00:00,11316,1.0,1289,227,42.9,1011.3,43.2,23.2,0
