meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1285,11291,81,2,2026-05-24T20:11:33.686000+00:00,26.085,26.273,32.261,234.0,278.0,True,84.619,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2049, 0]",307.0
1285,11291,12,3,2026-05-24T20:12:37.030000+00:00,22.886,24.922,31.166,232.0,275.0,False,78.974,"[None, 2049, 2051, 2051, 2051, 2048]","[2051, 2051, 2048, 2051, 2049, 2048]","[2051, 2049, 2048, 2048, 2049, 2049, 2049, 2048]",300.0
1285,11291,63,3,2026-05-24T20:12:37.171000+00:00,23.408,25.005,31.007,232.0,278.0,False,79.42,"[None, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2051, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2051, 2048]",313.0
1285,11291,44,3,2026-05-24T20:12:37.389000+00:00,23.77,25.036,30.902,229.0,278.0,False,79.708,"[2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048]",322.0
1285,11291,3,3,2026-05-24T20:12:38.217000+00:00,23.159,25.506,30.952,234.0,278.0,False,79.617,"[2049, 2049, 2049, 2048, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049]",309.0
1285,11291,16,3,2026-05-24T20:12:39.202000+00:00,23.229,25.361,30.934,231.0,283.0,False,79.524,"[None, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2051, 2048]",327.0
1285,11291,6,3,2026-05-24T20:12:40.358000+00:00,22.96,25.381,30.94,,279.0,False,79.281,"[None, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049]",315.0
1285,11291,43,3,2026-05-24T20:12:42.999000+00:00,23.19,25.815,31.989,236.0,276.0,False,80.994,"[None, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2049]",305.0
1285,11291,30,3,2026-05-24T20:12:44.047000+00:00,23.518,25.919,31.883,236.0,275.0,False,81.32,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049]",313.0
1285,11291,87,3,2026-05-24T20:12:47.265000+00:00,23.82,26.156,31.772,227.0,270.0,False,81.748,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",304.0
