meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T20:29:58+00:00,81.0,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:29:58
1285,11291,2026-05-24T20:30:11+00:00,81.0,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:30:10
1285,11291,2026-05-24T20:30:43+00:00,,17,Other,,,,,CAR 16 (LEC) TIME 1:20.202 DELETED - TRACK LIMITS AT TURN 8 LAP 14 16:27:29
1285,11291,2026-05-24T20:30:46+00:00,,17,Other,,,,,CAR 87 (BEA) TIME 1:17.509 DELETED - TRACK LIMITS AT TURN 14 LAP 15 16:29:52
1285,11291,2026-05-24T20:32:38+00:00,31.0,18,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:32:38
1285,11291,2026-05-24T20:33:02+00:00,18.0,19,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:33:02
1285,11291,2026-05-24T20:33:06+00:00,,19,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CARS 30 (LAW) AND 27 (HUL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE
1285,11291,2026-05-24T20:33:36+00:00,,19,Flag,YELLOW,Sector,11.0,,YELLOW IN TRACK SECTOR 11
1285,11291,2026-05-24T20:33:39+00:00,,19,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1285,11291,2026-05-24T20:34:05+00:00,,19,Other,,,,,CAR 1 (NOR) TIME 1:23.114 DELETED - TRACK LIMITS AT TURN 10 LAP 16 16:31:10
1285,11291,2026-05-24T20:34:07+00:00,77.0,19,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:34:07
1285,11291,2026-05-24T20:34:17+00:00,,20,Other,,,,,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CAR 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (16:19:44)
1285,11291,2026-05-24T20:34:43+00:00,14.0,20,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:34:42
1285,11291,2026-05-24T20:35:00+00:00,,20,Other,,,,,INCIDENT INVOLVING CAR 87 (BEA) NOTED - YELLOW FLAG INFRINGEMENT (16:26:52)
1285,11291,2026-05-24T20:35:32+00:00,,20,Other,,,,,INCIDENT INVOLVING CAR 14 (ALO) NOTED - YELLOW FLAG INFRINGEMENT (16:25:49)
1285,11291,2026-05-24T20:35:52+00:00,18.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:35:52
1285,11291,2026-05-24T20:36:00+00:00,18.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:36:00
1285,11291,2026-05-24T20:36:19+00:00,14.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:36:19
1285,11291,2026-05-24T20:36:36+00:00,77.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:36:36
1285,11291,2026-05-24T20:37:03+00:00,11.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:37:02
1285,11291,2026-05-24T20:37:04+00:00,77.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:03
1285,11291,2026-05-24T20:37:11+00:00,11.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:37:10
1285,11291,2026-05-24T20:37:15+00:00,14.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:37:15
1285,11291,2026-05-24T20:37:31+00:00,77.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:30
1285,11291,2026-05-24T20:37:42+00:00,,22,Other,,,,,CAR 77 (BOT) TIME 1:21.843 DELETED - TRACK LIMITS AT TURN 10 LAP 17 16:33:34
1285,11291,2026-05-24T20:37:46+00:00,77.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:45
1285,11291,2026-05-24T20:37:51+00:00,,22,Other,,,,,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 81 (PIA) AND 23 (ALB) UNDER INVESTIGATION - CAUSING A COLLISION (16:25:37)
1285,11291,2026-05-24T20:38:36+00:00,,23,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 81 (PIA) - CAUSING A COLLISION (16:25:37)
