date,session_key,pressure,humidity,wind_direction,air_temperature,meeting_key,track_temperature,wind_speed,rainfall
2026-05-24T20:28:46.936000+00:00,11291,1024.0,72.3,225,12.8,1285,18.0,0.9,0
2026-05-24T20:29:46.930000+00:00,11291,1024.0,72.3,225,12.7,1285,18.0,0.9,0
2026-05-24T20:30:46.944000+00:00,11291,1024.0,72.3,225,12.9,1285,18.0,0.9,0
2026-05-24T20:31:46.943000+00:00,11291,1023.9,72.4,264,12.8,1285,18.4,1.6,0
2026-05-24T20:32:46.943000+00:00,11291,1023.9,72.0,169,12.9,1285,18.4,2.0,0
2026-05-24T20:33:46.941000+00:00,11291,1023.9,72.0,169,12.7,1285,18.4,2.0,0
2026-05-24T20:34:46.938000+00:00,11291,1023.9,72.0,169,12.7,1285,18.4,2.0,0
2026-05-24T20:35:46.945000+00:00,11291,1023.9,72.0,169,12.8,1285,18.4,2.0,0
2026-05-24T20:36:46.929000+00:00,11291,1024.0,70.9,229,13.0,1285,18.2,0.9,0
2026-05-24T20:37:46.936000+00:00,11291,1024.0,71.0,252,13.3,1285,18.3,1.8,0
2026-05-24T20:38:46.931000+00:00,11291,1024.0,71.0,252,12.9,1285,18.3,1.8,0
2026-05-24T20:39:46.945000+00:00,11291,1024.0,71.0,194,13.1,1285,18.3,0.9,0
2026-05-24T20:40:46.943000+00:00,11291,1024.0,71.0,194,12.8,1285,18.3,0.9,0
2026-05-24T20:41:46.950000+00:00,11291,1024.0,71.0,194,12.8,1285,18.3,0.9,0
2026-05-24T20:42:46.950000+00:00,11291,1024.0,71.0,194,12.8,1285,18.3,0.9,0
2026-05-24T20:43:46.938000+00:00,11291,1024.0,71.0,194,12.9,1285,18.3,0.9,0
2026-05-24T20:44:46.942000+00:00,11291,1024.0,71.0,194,12.9,1285,18.3,0.9,0
2026-05-24T20:45:46.949000+00:00,11291,1024.0,68.0,170,13.2,1285,18.4,4.5,0
2026-05-24T20:46:46.955000+00:00,11291,1024.0,67.5,188,13.4,1285,18.1,4.5,0
2026-05-24T20:47:46.949000+00:00,11291,1023.9,67.8,184,13.4,1285,18.3,1.9,0
2026-05-24T20:48:46.950000+00:00,11291,1023.9,67.8,184,13.0,1285,18.3,1.9,0
2026-05-24T20:49:46.952000+00:00,11291,1023.8,68.2,179,13.5,1285,18.5,1.5,0
2026-05-24T20:50:46.960000+00:00,11291,1023.7,68.9,193,13.3,1285,18.3,1.7,0
2026-05-24T20:51:46.960000+00:00,11291,1024.0,69.2,176,13.3,1285,18.4,2.4,0
2026-05-24T20:52:46.961000+00:00,11291,1024.0,69.2,176,13.1,1285,18.4,2.4,0
2026-05-24T20:53:46.959000+00:00,11291,1023.7,69.6,202,13.3,1285,18.6,3.0,0
2026-05-24T20:54:46.961000+00:00,11291,1023.7,69.6,202,13.1,1285,18.6,3.0,0
2026-05-24T20:55:46.961000+00:00,11291,1023.7,67.9,244,13.4,1285,18.9,1.0,0
2026-05-24T20:56:46.946000+00:00,11291,1023.7,67.9,244,13.2,1285,18.9,1.0,0
