date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number
2026-03-07T02:46:59.807000+00:00,11229,1279,1295.3,,1295.3,27,19
2026-03-07T02:47:02.182000+00:00,11229,1279,1031.9,,1031.9,44,19
2026-03-07T02:47:08.073000+00:00,11229,1279,1196.3,,1196.3,41,12
2026-03-07T02:47:14.104000+00:00,11229,1279,1272.5,,1272.5,77,9
2026-03-07T02:47:29.448000+00:00,11229,1279,1153.4,,1153.4,43,19
2026-03-07T02:47:34.439000+00:00,11229,1279,1129.7,,1129.7,6,12
2026-03-07T02:47:37.361000+00:00,11229,1279,1156.2,,1156.2,3,12
2026-03-07T02:47:43.720000+00:00,11229,1279,911.2,,911.2,14,17
2026-03-07T02:47:49.551000+00:00,11229,1279,974.9,,974.9,87,15
2026-03-07T02:47:51.869000+00:00,11229,1279,1011.0,,1011.0,11,18
2026-03-07T02:47:55.918000+00:00,11229,1279,1112.3,,1112.3,30,12
