date,session_key,lap_number,meeting_key,pit_duration,lane_duration,stop_duration,driver_number
2026-03-13T04:15:43.373000+00:00,11235,18,1280,726.6,726.6,,16
2026-03-13T04:18:25.740000+00:00,11235,21,1280,292.4,292.4,,30
2026-03-13T04:18:27.607000+00:00,11235,18,1280,299.0,299.0,,27
2026-03-13T04:18:33.642000+00:00,11235,22,1280,426.8,426.8,,23
2026-03-13T04:18:36.886000+00:00,11235,20,1280,292.4,292.4,,87
2026-03-13T04:18:39.545000+00:00,11235,20,1280,286.3,286.3,,10
2026-03-13T04:19:43.714000+00:00,11235,21,1280,260.2,260.2,,1
2026-03-13T04:19:50.746000+00:00,11235,17,1280,539.7,539.7,,31
2026-03-13T04:20:18.089000+00:00,11235,20,1280,240.0,240.0,,81
2026-03-13T04:20:49.554000+00:00,11235,17,1280,290.1,290.1,,3
2026-03-13T04:21:07.336000+00:00,11235,10,1280,25.1,25.1,,55
2026-03-13T04:21:11.372000+00:00,11235,19,1280,335.6,335.6,,5
2026-03-13T04:21:26.648000+00:00,11235,18,1280,228.7,228.7,,77
2026-03-13T04:22:13.371000+00:00,11235,15,1280,399.9,399.9,,18
2026-03-13T04:22:53.491000+00:00,11235,13,1280,380.1,380.1,,14
2026-03-13T04:23:18.008000+00:00,11235,20,1280,492.9,492.9,,43
2026-03-13T04:23:28.499000+00:00,11235,20,1280,408.0,408.0,,6
2026-03-13T04:23:44.974000+00:00,11235,22,1280,45.7,45.7,,16
2026-03-13T04:25:48.715000+00:00,11235,20,1280,19.4,19.4,,31
2026-03-13T04:28:30.533000+00:00,11235,26,1280,76.8,76.8,,30
2026-03-13T04:28:40.405000+00:00,11235,25,1280,34.7,34.7,,10
2026-03-13T04:29:31.978000+00:00,11235,23,1280,354.5,354.5,,44
2026-03-13T04:29:40.384000+00:00,11235,26,1280,267.6,267.6,,63
2026-03-13T04:29:52.197000+00:00,11235,27,1280,122.8,122.8,,12
