date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key
2026-03-28T02:56:55.503000+00:00,11248,7,12,,28.3,28.3,1281
2026-03-28T02:58:19.274000+00:00,11248,8,81,,22.5,22.5,1281
2026-03-28T02:58:44.708000+00:00,11248,8,10,,732.4,732.4,1281
2026-03-28T02:59:47.362000+00:00,11248,11,43,,513.0,513.0,1281
2026-03-28T03:00:28.776000+00:00,11248,10,55,,192.5,192.5,1281
2026-03-28T03:02:17.061000+00:00,11248,6,18,,983.0,983.0,1281
2026-03-28T03:02:32.050000+00:00,11248,10,10,,23.7,23.7,1281
2026-03-28T03:02:32.408000+00:00,11248,10,77,,34.4,34.4,1281
2026-03-28T03:03:28.145000+00:00,11248,8,11,,957.0,957.0,1281
2026-03-28T03:03:47.888000+00:00,11248,9,3,,27.7,27.7,1281
2026-03-28T03:03:51.825000+00:00,11248,6,14,,860.8,860.8,1281
2026-03-28T03:05:45.358000+00:00,11248,12,30,,23.0,23.0,1281
2026-03-28T03:06:10.868000+00:00,11248,1,1,,,,1281
2026-03-28T03:08:06.728000+00:00,11248,13,77,,19.6,19.6,1281
2026-03-28T03:08:20.404000+00:00,11248,9,81,,478.7,478.7,1281
2026-03-28T03:08:36.964000+00:00,11248,10,63,,275.5,275.5,1281
2026-03-28T03:08:46.669000+00:00,11248,10,12,,411.1,411.1,1281
2026-03-28T03:09:47.505000+00:00,11248,10,41,,699.9,699.9,1281
2026-03-28T03:09:55.834000+00:00,11248,11,31,,804.6,804.6,1281
2026-03-28T03:10:08.138000+00:00,11248,11,5,,609.6,609.6,1281
2026-03-28T03:10:23.053000+00:00,11248,11,87,,738.3,738.3,1281
2026-03-28T03:10:35.923000+00:00,11248,11,27,,742.1,742.1,1281
2026-03-28T03:14:06.254000+00:00,11248,13,5,,31.9,31.9,1281
2026-03-28T03:14:15.682000+00:00,11248,14,44,,469.7,469.7,1281
2026-03-28T03:14:17.012000+00:00,11248,12,81,,32.0,32.0,1281
2026-03-28T03:14:30.559000+00:00,11248,10,23,,561.3,561.3,1281
2026-03-28T03:14:45.503000+00:00,11248,10,16,,866.1,866.1,1281
2026-03-28T03:16:39.628000+00:00,11248,11,41,,309.4,309.4,1281
2026-03-28T03:16:52.310000+00:00,11248,14,3,,317.0,317.0,1281
2026-03-28T03:17:04.748000+00:00,11248,12,10,,618.7,618.7,1281
2026-03-28T03:17:10.508000+00:00,11248,18,55,,219.0,219.0,1281
2026-03-28T03:17:12.504000+00:00,11248,11,18,,363.8,363.8,1281
2026-03-28T03:17:21.679000+00:00,11248,13,6,,502.0,502.0,1281
2026-03-28T03:18:11.702000+00:00,11248,13,87,,241.4,241.4,1281
2026-03-28T03:19:09.354000+00:00,11248,13,12,,306.4,306.4,1281
2026-03-28T03:19:26.400000+00:00,11248,13,63,,328.1,328.1,1281
2026-03-28T03:20:09.155000+00:00,11248,16,5,,19.0,19.0,1281
2026-03-28T03:20:17.545000+00:00,11248,15,30,,565.2,565.2,1281
2026-03-28T03:20:20.524000+00:00,11248,16,27,,29.3,29.3,1281
2026-03-28T03:20:22.935000+00:00,11248,9,14,,669.8,669.8,1281
2026-03-28T03:21:11.369000+00:00,11248,12,11,,627.0,627.0,1281
2026-03-28T03:21:15.054000+00:00,11248,14,77,,662.5,662.5,1281
2026-03-28T03:21:23.931000+00:00,11248,7,1,,257.1,257.1,1281
2026-03-28T03:21:29.710000+00:00,11248,17,31,,19.7,19.7,1281
2026-03-28T03:21:32.170000+00:00,11248,19,43,,517.0,517.0,1281
2026-03-28T03:22:30.449000+00:00,11248,17,3,,27.5,27.5,1281
2026-03-28T03:23:45.330000+00:00,11248,14,18,,47.4,47.4,1281
2026-03-28T03:24:40.328000+00:00,11248,15,41,,31.8,31.8,1281
2026-03-28T03:25:06.937000+00:00,11248,16,87,,60.8,60.8,1281
2026-03-28T03:28:05.473000+00:00,11248,20,3,,20.8,20.8,1281
2026-03-28T03:28:31.653000+00:00,11248,19,5,,190.5,190.5,1281
2026-03-28T03:28:48.703000+00:00,11248,24,55,,27.7,27.7,1281
2026-03-28T03:28:50.724000+00:00,11248,20,31,,114.5,114.5,1281
2026-03-28T03:29:02.642000+00:00,11248,17,81,,337.1,337.1,1281
2026-03-28T03:29:36.432000+00:00,11248,19,27,,222.6,222.6,1281
2026-03-28T03:29:37.019000+00:00,11248,16,12,,307.1,307.1,1281
2026-03-28T03:29:41.285000+00:00,11248,14,14,,18.3,18.3,1281
2026-03-28T03:29:58.188000+00:00,11248,16,63,,312.2,312.2,1281
