id,season,round,race_id,constructor_id,regulation_era,two_car_long_run_pace_s,two_car_quali_pace_s,recent_pace_rank,reliability_index,weather_risk_index,source_label
2026-10|Cadillac,2026,10,2026-10,Cadillac,regulations_2026_reset,124.33137142857143,107.89699999999999,18.7818,100.0,0.0,fastf1_constructor_form_v1
2026-10|Ferrari,2026,10,2026-10,Ferrari,regulations_2026_reset,126.114375,104.894,4.1782,100.0,0.0,fastf1_constructor_form_v1
2026-10|Haas F1 Team,2026,10,2026-10,Haas F1 Team,regulations_2026_reset,122.93708333333333,107.28999999999999,14.192,100.0,0.0,fastf1_constructor_form_v1
2026-10|McLaren,2026,10,2026-10,McLaren,regulations_2026_reset,114.9765,104.9085,6.4966,100.0,0.0,fastf1_constructor_form_v1
2026-10|Mercedes,2026,10,2026-10,Mercedes,regulations_2026_reset,121.43790000000001,104.61500000000001,2.97575,100.0,0.0,fastf1_constructor_form_v1
2026-10|Racing Bulls,2026,10,2026-10,Racing Bulls,regulations_2026_reset,126.36270833333334,105.6315,11.2436,100.0,0.0,fastf1_constructor_form_v1
2026-10|Red Bull Racing,2026,10,2026-10,Red Bull Racing,regulations_2026_reset,114.44985416666665,105.25049999999999,6.674250000000001,100.0,0.0,fastf1_constructor_form_v1
2026-10|Williams,2026,10,2026-10,Williams,regulations_2026_reset,121.99349999999998,106.9485,14.68515,100.0,0.0,fastf1_constructor_form_v1
2026-11|Alpine,2026,11,2026-11,Alpine,regulations_2026_reset,99.59511538461538,78.93549999999999,11.4567,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-11|Aston Martin,2026,11,2026-11,Aston Martin,regulations_2026_reset,97.89586666666668,80.2335,19.3019,100.0,0.0,fastf1_constructor_form_v1
2026-11|Audi,2026,11,2026-11,Audi,regulations_2026_reset,97.07714264705882,78.854,11.8082,100.0,0.0,fastf1_constructor_form_v1
2026-11|Cadillac,2026,11,2026-11,Cadillac,regulations_2026_reset,97.38806746031746,81.104,17.944,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-11|Ferrari,2026,11,2026-11,Ferrari,regulations_2026_reset,91.58646428571429,77.332,4.88405,100.0,0.0,fastf1_constructor_form_v1
2026-11|Haas F1 Team,2026,11,2026-11,Haas F1 Team,regulations_2026_reset,96.33366503267973,79.98349999999999,14.3533,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-11|McLaren,2026,11,2026-11,McLaren,regulations_2026_reset,93.58599603174602,77.4455,7.37805,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-11|Mercedes,2026,11,2026-11,Mercedes,regulations_2026_reset,97.02038095238095,77.6195,4.44975,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-11|Racing Bulls,2026,11,2026-11,Racing Bulls,regulations_2026_reset,93.96573815789475,78.523,9.9024,100.0,0.0,fastf1_constructor_form_v1
2026-11|Red Bull Racing,2026,11,2026-11,Red Bull Racing,regulations_2026_reset,96.98311111111111,77.7905,7.17135,100.0,0.0,fastf1_constructor_form_v1
2026-11|Williams,2026,11,2026-11,Williams,regulations_2026_reset,94.22198863636365,80.6395,14.073350000000001,100.0,0.0,fastf1_constructor_form_v1
2026-12|Alpine,2026,12,2026-12,Alpine,regulations_2026_reset,,72.708,11.9548,100.0,100.0,fastf1_constructor_form_v1
2026-12|Aston Martin,2026,12,2026-12,Aston Martin,regulations_2026_reset,,73.73400000000001,17.64665,100.0,100.0,fastf1_constructor_form_v1
2026-12|Audi,2026,12,2026-12,Audi,regulations_2026_reset,,72.43799999999999,11.01885,100.0,90.0,fastf1_constructor_form_v1
2026-12|Cadillac,2026,12,2026-12,Cadillac,regulations_2026_reset,,74.4855,18.2151,100.0,100.0,fastf1_constructor_form_v1
2026-12|Ferrari,2026,12,2026-12,Ferrari,regulations_2026_reset,,71.52600000000001,4.352550000000001,100.0,100.0,fastf1_constructor_form_v1
2026-12|Haas F1 Team,2026,12,2026-12,Haas F1 Team,regulations_2026_reset,,73.4815,14.82415,100.0,90.0,fastf1_constructor_form_v1
2026-12|McLaren,2026,12,2026-12,McLaren,regulations_2026_reset,,71.23400000000001,7.522,100.0,100.0,fastf1_constructor_form_v1
2026-12|Mercedes,2026,12,2026-12,Mercedes,regulations_2026_reset,,71.2805,4.59105,100.0,100.0,fastf1_constructor_form_v1
2026-12|Racing Bulls,2026,12,2026-12,Racing Bulls,regulations_2026_reset,,72.406,9.538,100.0,100.0,fastf1_constructor_form_v1
2026-12|Red Bull Racing,2026,12,2026-12,Red Bull Racing,regulations_2026_reset,,71.6755,8.5107,100.0,100.0,fastf1_constructor_form_v1
2026-12|Williams,2026,12,2026-12,Williams,regulations_2026_reset,,73.378,15.26015,100.0,100.0,fastf1_constructor_form_v1
