race_analysis_id,driver,team,lap_number,race_phase,compound,stint_number,lap_time_s,normalized_pace_delta_s,field_rank_on_lap,rolling_pace_delta_s,tyre_age,fuel_corrected_delta_s,weather_adjusted_flag,pace_confidence
2024-01-bahrain,BOT,Kick Sauber,51,closing,HARD,3,96.819,0.907,14,1.037,21,2.692,False,0.72
2024-01-bahrain,BOT,Kick Sauber,52,closing,HARD,3,96.949,0.944,16,0.979,22,2.764,False,0.72
2024-01-bahrain,BOT,Kick Sauber,53,closing,HARD,3,99.035,3.048,20,1.633,23,4.903,False,0.72
2024-01-bahrain,BOT,Kick Sauber,54,closing,HARD,3,97.095,1.035,17,1.676,24,2.925,False,0.72
2024-01-bahrain,BOT,Kick Sauber,55,closing,HARD,3,97.205,1.025,15,1.703,25,2.95,False,0.72
2024-01-bahrain,BOT,Kick Sauber,56,closing,HARD,3,97.956,1.856,19,1.305,26,3.816,False,0.72
2024-01-bahrain,GAS,Alpine,1,opening,SOFT,1,107.24,3.553,17,3.553,1,3.588,False,0.72
2024-01-bahrain,GAS,Alpine,2,opening,SOFT,1,99.059,0.731,17,2.142,2,0.801,False,0.72
2024-01-bahrain,GAS,Alpine,3,opening,SOFT,1,98.744,0.393,16,1.559,3,0.498,False,0.72
2024-01-bahrain,GAS,Alpine,4,opening,SOFT,1,98.503,0.204,17,0.443,4,0.344,False,0.72
2024-01-bahrain,GAS,Alpine,5,opening,SOFT,1,98.664,0.235,14,0.277,5,0.41,False,0.72
2024-01-bahrain,GAS,Alpine,6,opening,SOFT,1,99.099,0.827,19,0.422,6,1.037,False,0.72
2024-01-bahrain,GAS,Alpine,7,opening,SOFT,1,99.078,0.569,15,0.544,7,0.814,False,0.72
2024-01-bahrain,GAS,Alpine,8,opening,SOFT,1,99.287,0.92,16,0.772,8,1.2,False,0.72
2024-01-bahrain,GAS,Alpine,9,opening,SOFT,1,99.452,0.803,18,0.764,9,1.118,False,0.72
2024-01-bahrain,GAS,Alpine,10,opening,SOFT,1,98.929,0.182,13,0.635,10,0.532,False,0.72
2024-01-bahrain,GAS,Alpine,11,opening,SOFT,1,98.656,0.051,11,0.346,11,0.436,False,0.72
2024-01-bahrain,GAS,Alpine,12,middle,SOFT,1,101.456,2.625,16,0.953,12,3.045,False,0.72
2024-01-bahrain,GAS,Alpine,13,middle,HARD,2,124.565,25.86,20,9.512,1,26.315,False,0.72
2024-01-bahrain,GAS,Alpine,14,middle,HARD,2,97.689,0.082,12,9.522,2,0.572,False,0.72
2024-01-bahrain,GAS,Alpine,15,middle,HARD,2,97.492,-0.004,10,8.646,3,0.521,False,0.72
2024-01-bahrain,GAS,Alpine,16,middle,HARD,2,97.521,0.002,11,0.027,4,0.562,False,0.72
2024-01-bahrain,GAS,Alpine,17,middle,HARD,2,97.949,0.512,14,0.17,5,1.107,False,0.72
2024-01-bahrain,GAS,Alpine,18,middle,HARD,2,97.791,0.224,14,0.246,6,0.854,False,0.72
