session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,LEC,2.5,3.0,0.0,0.0,0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,LIN,-8.5,-9.5,0.0,0.0,0.0,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,NOR,-2.0,-2.5,0.0,0.0,0.5333,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,OCO,-6.0,-9.5,0.0,0.0,-0.1333,0.55,OCO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,PER,0.0,0.5,0.0,0.0,-0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,PIA,2.5,6.0,0.0,0.0,0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,RUS,-7.0,-8.0,0.0,0.0,-0.2667,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,ALO,2.0,16.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,ANT,-4.0,11.0,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,BEA,-9.0,-16.0,0.0,0.0,0.0,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,BOR,-8.0,1.0,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,BOT,6.0,-5.5,0.0,0.0,-0.7333,0.55,BOT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,COL,1.0,7.5,0.0,0.0,-0.0667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,GAS,-5.5,-4.0,0.0,0.0,0.0,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,HAD,-8.0,9.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,HAM,2.5,5.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,HUL,-13.0,-6.5,0.0,0.0,0.0,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,LAW,-9.0,-11.5,0.0,0.0,0.0,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,LEC,2.5,1.0,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,LIN,-9.5,-5.0,0.0,0.0,0.0,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,NOR,-5.5,12.0,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,OCO,-11.5,-17.0,0.0,0.0,0.0,0.55,OCO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,PER,-3.0,-15.5,0.0,0.0,-0.7333,0.55,PER
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,PIA,7.5,21.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_12,ALB,RUS,-9.0,0.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,ALO,0.5,4.0,0.0292,0.0,0.5334,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,ANT,-10.0,-6.5,0.0292,0.0,0.4,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,BEA,2.5,7.0,0.0375,0.0,0.8667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,BOR,-6.0,0.0,0.05,0.0,0.8,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,BOT,9.5,17.0,0.0625,0.0,0.8667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,COL,-2.5,2.0,0.0375,0.0,0.6667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,GAS,-4.0,-7.0,-0.025,0.0,0.0,0.55,GAS
