session_id,segment_id,driver_a,driver_b,braking_start_delta_m,braking_duration_delta_s,braking_distance_delta_m,late_brake_delta,brake_intensity_delta,confidence,favorable_driver
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,BOR,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,BOT,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,COL,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,GAS,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,HAD,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,HAM,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,LAW,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,LEC,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,LIN,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,NOR,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,OCO,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,PER,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,RUS,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,SAI,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,STR,,-4.081,-253.035,0.0,-1.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,VER,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,ALO,-26.114,0.159,21.136,-0.1351,0.1125,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,ANT,-67.498,0.919,65.425,-0.3375,0.1696,0.55,ANT
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,BEA,15.589,0.039,-1.33,0.0,-0.0208,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,BOR,-28.031,0.839,59.336,-0.1033,0.0817,0.55,BOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,BOT,1.31,0.278,24.002,0.0,0.0625,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,COL,3.989,-0.001,-2.819,0.0,-0.0446,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,GAS,-4.723,-1.04,-111.855,0.0,-0.4567,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,HAD,-44.728,0.159,19.992,0.0,0.1696,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,HAM,-27.597,0.519,35.17,-0.0929,0.0458,0.55,HAM
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,LAW,-22.909,0.319,25.036,-0.124,0.0,0.55,LAW
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,LEC,-50.141,0.84,60.094,-0.2066,0.1696,0.55,LEC
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,LIN,-7.687,0.199,14.947,0.0,0.0347,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,NOR,-44.515,0.839,57.659,-0.2484,0.1792,0.55,NOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,OCO,-27.673,0.399,28.703,-0.0854,0.0268,0.55,OCO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,PER,-0.403,0.52,36.918,-0.071,0.0903,0.55,PER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,RUS,3.649,0.279,17.859,0.0,0.0772,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,SAI,-11.144,0.358,28.634,-0.1005,0.0903,0.55,SAI
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,STR,-35.18,0.68,50.928,-0.1822,0.136,0.55,STR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_13,ALB,VER,-16.624,0.399,27.125,-0.081,0.0347,0.55,VER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,ALO,-43.857,0.761,51.135,-0.1896,0.222,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,ANT,-34.7,0.359,20.962,-0.1753,0.0648,0.55,ANT
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,BEA,9.487,-0.16,-6.089,0.0,-0.0192,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,BOR,-45.353,0.681,37.87,-0.1708,0.1263,0.55,BOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,BOT,-6.363,0.639,36.536,-0.0732,0.1417,0.55,BOT
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,COL,-45.704,0.601,38.887,-0.1864,0.1263,0.55,COL
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,GAS,-82.148,0.281,20.366,-0.3302,0.0501,0.55,GAS
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,HAD,-19.255,0.56,28.867,-0.105,0.1627,0.55,HAD
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,HAM,-37.267,0.92,46.967,-0.1621,0.193,0.55,HAM
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,LAW,-23.944,0.32,18.1,-0.1154,0.1513,0.55,LAW
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,LEC,-38.823,0.799,42.146,-0.1363,0.1453,0.55,LEC
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,LIN,-24.347,0.24,11.633,-0.1108,0.1096,0.55,LIN
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,NOR,-26.476,1.16,53.9,-0.0659,0.193,0.55,NOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,OCO,-35.274,0.481,33.746,-0.1673,0.1263,0.55,OCO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,PER,-13.483,0.641,40.455,-0.0736,0.2081,0.55,PER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,RUS,-0.054,0.48,19.311,0.0,0.0763,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,SAI,-8.102,0.561,33.287,-0.0463,0.1663,0.55,SAI
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,STR,-20.403,0.76,37.911,-0.07,0.0718,0.55,STR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_16,ALB,VER,-37.45,0.84,38.489,-0.1863,0.193,0.55,VER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,ALO,-15.671,0.4,23.089,-0.0659,0.0526,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,ANT,-10.935,0.72,39.267,-0.0018,0.1023,0.55,ANT
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,BEA,-6.458,0.28,14.589,-0.0243,0.0468,0.55,BEA
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,BOR,-22.973,0.48,26.089,-0.0938,0.0991,0.55,BOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,BOT,26.178,0.0,0.778,0.1133,-0.0088,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,COL,9.284,0.12,3.867,0.0385,-0.0186,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,GAS,-56.628,0.36,19.233,-0.2187,0.0468,0.55,GAS
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,HAD,,0.88,49.089,0.3048,0.1579,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,HAM,-2.367,0.64,35.089,0.0163,0.0991,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,LAW,-2.217,0.68,37.589,0.0075,0.0954,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,LEC,,0.88,49.089,0.3048,0.1579,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,LIN,-8.745,0.48,26.222,-0.0069,0.0468,0.55,LIN
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,NOR,,0.88,49.089,0.3048,0.1579,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,OCO,-28.555,0.52,28.578,-0.0784,0.0526,0.55,OCO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,PER,32.465,-0.16,-10.122,0.1539,-0.0186,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,RUS,,0.88,49.089,0.3048,0.1579,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,SAI,16.121,-0.479,-26.412,0.0476,-0.0564,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,STR,,0.88,49.089,0.3048,0.1579,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_17,ALB,VER,-16.4,0.64,34.622,-0.0299,0.0954,0.55,VER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,ALO,4.957,0.479,15.136,0.0116,0.1217,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,ANT,-16.248,0.401,9.878,-0.0863,0.1074,0.55,ANT
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,BEA,1.539,0.2,4.088,0.0221,0.0324,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,BOR,4.303,0.039,-7.139,0.038,0.0324,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,BOT,24.779,0.241,7.192,0.1092,0.1111,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,COL,-4.641,0.119,1.282,0.0057,-0.0274,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,GAS,-48.634,0.359,7.303,-0.1891,0.0741,0.55,GAS
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,HAD,4.81,0.959,25.896,0.0308,0.1382,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,HAM,9.999,0.2,0.777,0.0343,0.1157,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,LAW,22.476,0.12,-4.862,0.1092,-0.0017,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,LEC,-10.754,0.2,0.588,-0.0055,0.0474,0.55,LEC
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,LIN,-1.644,0.12,5.044,-0.0211,0.0503,0.55,LIN
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,NOR,-0.201,0.441,10.873,-0.0123,0.086,0.55,NOR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,OCO,-14.962,0.44,18.511,-0.0543,0.0848,0.55,OCO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,PER,21.235,0.999,28.574,0.1092,0.1741,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,RUS,21.375,-0.16,-17.199,0.0635,0.0145,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,SAI,19.897,0.24,3.9,0.0548,0.0626,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,STR,24.061,-0.6,-37.123,0.1092,-0.1126,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_18,ALB,VER,-26.19,0.24,7.957,-0.1206,0.0874,0.55,VER
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,ALO,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,ANT,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,BEA,,-1.12,-51.333,0.0,-0.0667,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,BOR,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,BOT,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,COL,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,GAS,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,HAD,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,HAM,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,LAW,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,LEC,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,LIN,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,NOR,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,OCO,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,PER,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,RUS,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,SAI,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,STR,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_19,ALB,VER,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,ANT,-6.891,0.2,-7.933,0.0,-0.0448,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,BEA,0.863,-0.64,-31.922,0.0,-0.1428,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,BOR,2.3,-0.321,-20.022,0.0,-0.1428,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,BOT,-6.06,0.159,7.129,0.0,-0.02,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,COL,-4.602,-0.321,-12.955,0.0,-0.2095,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,GAS,2.431,-1.121,-55.498,0.0,-0.2008,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,HAD,-14.397,-0.119,-5.827,0.0,-0.0873,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,HAM,-11.68,-0.16,-18.188,0.0,-0.122,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,LAW,-9.608,0.0,-1.825,0.0,-0.0269,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,LEC,-3.025,-0.32,-19.588,0.0,-0.122,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,LIN,0.181,-0.88,-45.427,0.0,-0.1779,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,NOR,,1.24,69.056,0.0,0.1905,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,OCO,-8.555,-0.16,-7.222,0.0,-0.1253,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,PER,-1.473,-0.28,-11.2,0.0,-0.0952,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,RUS,-7.987,-0.401,-31.563,0.0,-0.1984,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,SAI,-1.386,-0.84,-47.455,0.0,-0.1731,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,STR,-4.563,0.159,11.132,0.0,-0.0727,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALO,VER,-10.304,-0.161,-14.256,0.0,-0.1095,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,ANT,1.452,0.081,0.34,0.0,0.0186,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,BEA,-1.083,0.84,26.544,0.0,0.1351,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,BOR,-5.241,0.6,18.744,0.0,0.0986,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,BOT,-0.313,0.399,10.768,0.0,0.0715,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,COL,-7.332,0.159,6.429,0.0,0.0119,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,GAS,-3.634,0.04,2.755,0.0,0.0305,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,HAD,1.78,0.76,23.133,0.0,0.1453,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,HAM,0.425,-0.12,-4.245,0.0,-0.0283,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,LAW,0.92,0.041,-0.694,0.0,0.0248,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,LEC,-1.231,0.24,6.655,0.0,0.0186,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,LIN,2.39,-0.041,-1.052,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,NOR,-4.017,0.6,17.844,0.0,0.1017,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,OCO,-1.305,0.08,0.789,0.0,0.0675,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,PER,-3.426,0.84,26.466,0.0,0.1453,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,RUS,-3.023,0.72,22.466,0.0,0.0953,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,SAI,2.082,0.28,10.166,0.0,0.0482,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,STR,-135.308,-2.079,-107.822,-0.5141,-0.2614,0.55,STR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALO,VER,-1.279,0.72,21.189,0.0,0.1096,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,ANT,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,BEA,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,BOR,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,BOT,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,COL,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,GAS,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,HAD,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,HAM,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,LAW,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,LEC,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,LIN,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,NOR,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,OCO,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,PER,,0.0,0.0,0.0,0.0,0.55,ALO
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALO,RUS,,0.0,0.0,0.0,0.0,0.55,ALO
