date,session_key,meeting_key,lane_duration,pit_duration,driver_number,stop_duration,lap_number
2026-06-05T12:13:03.426000+00:00,11292,1286,1256.7,1256.7,27,,15
2026-06-05T12:13:07.318000+00:00,11292,1286,745.8,745.8,5,,19
2026-06-05T12:13:10.046000+00:00,11292,1286,1181.6,1181.6,77,,16
2026-06-05T12:13:16.694000+00:00,11292,1286,871.9,871.9,10,,20
2026-06-05T12:13:23.568000+00:00,11292,1286,915.1,915.1,3,,17
2026-06-05T12:13:30.547000+00:00,11292,1286,1024.7,1024.7,41,,23
2026-06-05T12:13:38.640000+00:00,11292,1286,1163.5,1163.5,14,,13
2026-06-05T12:13:44.024000+00:00,11292,1286,1899.3,1899.3,55,,20
2026-06-05T12:13:52.239000+00:00,11292,1286,913.4,913.4,16,,20
2026-06-05T12:13:58.500000+00:00,11292,1286,1009.0,1009.0,87,,20
2026-06-05T12:14:04.568000+00:00,11292,1286,990.0,990.0,30,,22
2026-06-05T12:14:12.791000+00:00,11292,1286,798.7,798.7,23,,22
2026-06-05T12:14:24.310000+00:00,11292,1286,1048.2,1048.2,44,,18
2026-06-05T12:14:32.209000+00:00,11292,1286,1790.3,1790.3,63,,19
2026-06-05T12:14:36.254000+00:00,11292,1286,1019.6,1019.6,31,,20
2026-06-05T12:14:44.082000+00:00,11292,1286,1688.3,1688.3,1,,16
2026-06-05T12:14:48.546000+00:00,11292,1286,1314.9,1314.9,81,,19
2026-06-05T12:15:13.469000+00:00,11292,1286,875.7,875.7,43,,22
2026-06-05T12:16:35.859000+00:00,11292,1286,759.7,759.7,11,,19
2026-06-05T12:18:10.210000+00:00,11292,1286,1729.4,1729.4,12,,22
2026-06-05T12:23:23.255000+00:00,11292,1286,1469.0,1469.0,18,,14
2026-06-05T12:29:08.794000+00:00,11292,1286,2140.4,2140.4,77,,25
2026-06-05T12:29:14.500000+00:00,11292,1286,1968.6,1968.6,41,,32
2026-06-05T12:29:19.616000+00:00,11292,1286,2677.6,2677.6,63,,27
2026-06-05T12:29:22.453000+00:00,11292,1286,2235.7,2235.7,27,,25
2026-06-05T12:29:24.233000+00:00,11292,1286,1726.5,1726.5,43,,30
2026-06-05T12:29:27.098000+00:00,11292,1286,2842.3,2842.3,55,,29
2026-06-05T12:29:29.206000+00:00,11292,1286,2573.5,2573.5,1,,25
2026-06-05T12:29:30.596000+00:00,11292,1286,1845.8,1845.8,10,,30
2026-06-05T12:29:31.954000+00:00,11292,1286,1718.0,1718.0,23,,31
2026-06-05T12:29:37.872000+00:00,11292,1286,1541.8,1541.8,11,,26
2026-06-05T12:29:40.020000+00:00,11292,1286,1738.5,1738.5,5,,29
2026-06-05T12:29:42.050000+00:00,11292,1286,2208.4,2208.4,81,,27
2026-06-05T12:29:45.744000+00:00,11292,1286,1866.9,1866.9,16,,29
2026-06-05T12:29:47.121000+00:00,11292,1286,2426.2,2426.2,12,,29
2026-06-05T12:29:54.233000+00:00,11292,1286,1978.3,1978.3,44,,26
2026-06-05T12:29:56.343000+00:00,11292,1286,1939.7,1939.7,31,,29
2026-06-05T12:29:57.669000+00:00,11292,1286,1968.1,1968.1,87,,29
2026-06-05T12:30:01.533000+00:00,11292,1286,357.8,357.8,30,,29
