date,session_key,driver_number,stop_duration,pit_duration,lap_number,meeting_key,lane_duration
2026-07-25T11:13:46.483000+00:00,11337,6,,482.0,9,1291,482.0
2026-07-25T11:14:25.927000+00:00,11337,23,,480.1,8,1291,480.1
2026-07-25T11:14:32.007000+00:00,11337,3,,587.4,6,1291,587.4
2026-07-25T11:14:58.689000+00:00,11337,14,,544.4,10,1291,544.4
2026-07-25T11:15:06.193000+00:00,11337,18,,782.0,11,1291,782.0
2026-07-25T11:15:30.755000+00:00,11337,55,,37.5,11,1291,37.5
2026-07-25T11:15:59.273000+00:00,11337,27,,284.6,16,1291,284.6
2026-07-25T11:16:30.836000+00:00,11337,5,,269.7,14,1291,269.7
2026-07-25T11:17:48.875000+00:00,11337,16,,269.0,15,1291,269.0
2026-07-25T11:18:10.607000+00:00,11337,44,,295.9,14,1291,295.9
2026-07-25T11:18:45.002000+00:00,11337,30,,272.8,16,1291,272.8
2026-07-25T11:18:58.777000+00:00,11337,87,,698.0,7,1291,698.0
2026-07-25T11:20:05.641000+00:00,11337,10,,458.8,12,1291,458.8
2026-07-25T11:20:12.495000+00:00,11337,31,,407.1,11,1291,407.1
2026-07-25T11:20:56.317000+00:00,11337,43,,209.0,24,1291,209.0
2026-07-25T11:21:15.318000+00:00,11337,27,,27.5,19,1291,27.5
2026-07-25T11:21:31.642000+00:00,11337,12,,281.6,11,1291,281.6
2026-07-25T11:21:51.468000+00:00,11337,5,,25.1,17,1291,25.1
2026-07-25T11:21:54.240000+00:00,11337,6,,306.5,11,1291,306.5
2026-07-25T11:21:59.664000+00:00,11337,14,,40.0,14,1291,40.0
2026-07-25T11:22:08.039000+00:00,11337,18,,35.9,15,1291,35.9
2026-07-25T11:24:01.079000+00:00,11337,44,,28.1,17,1291,28.1
2026-07-25T11:24:12.282000+00:00,11337,3,,294.8,9,1291,294.8
2026-07-25T11:24:13.806000+00:00,11337,55,,423.2,12,1291,423.2
2026-07-25T11:25:10.131000+00:00,11337,41,,,1,1291,
2026-07-25T11:25:12.582000+00:00,11337,87,,49.6,10,1291,49.6
2026-07-25T11:26:15.314000+00:00,11337,31,,50.5,14,1291,50.5
2026-07-25T11:26:29.060000+00:00,11337,77,,835.1,12,1291,835.1
2026-07-25T11:26:36.604000+00:00,11337,30,,180.9,19,1291,180.9
2026-07-25T11:28:29.520000+00:00,11337,5,,117.5,20,1291,117.5
2026-07-25T11:28:45.919000+00:00,11337,81,,219.3,20,1291,219.3
2026-07-25T11:29:02.455000+00:00,11337,1,,338.7,18,1291,338.7
2026-07-25T11:29:26.566000+00:00,11337,27,,180.0,22,1291,180.0
2026-07-25T11:29:36.064000+00:00,11337,63,,169.1,16,1291,169.1
2026-07-25T11:29:41.350000+00:00,11337,12,,211.1,14,1291,211.1
2026-07-25T11:29:49.119000+00:00,11337,23,,617.1,11,1291,617.1
