season,round,event,session,corner_id,driver,reference_driver,apex_speed_delta_kph,entry_speed_delta_kph,exit_speed_delta_kph,comparison_scope
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,BOR,OCO,7.0,0.75,-13.75,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,RUS,OCO,7.0,-3.9,-8.05,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,BOT,OCO,8.0,52.5,-8.45,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,HUL,OCO,8.0,13.0,-3.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,GAS,OCO,8.0,-0.5,-10.25,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,COL,OCO,8.0,-1.3,-4.25,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,LAW,OCO,8.0,-1.0,-13.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,HAD,OCO,8.0,-13.0,10.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,PER,OCO,9.0,30.1,-14.05,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_18,ALO,OCO,14.0,6.7,-14.05,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,PIA,PIA,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,RUS,PIA,5.0,9.333,4.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,ALO,PIA,6.0,10.666,10.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,HAM,PIA,8.0,14.0,8.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,ANT,PIA,9.0,13.0,10.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,NOR,PIA,9.0,12.666,-2.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,HAD,PIA,9.0,14.666,5.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,BEA,PIA,10.0,14.333,6.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,PER,PIA,10.0,17.333,-0.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,OCO,PIA,12.0,19.333,9.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,LAW,PIA,12.0,14.333,7.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,HUL,PIA,13.0,17.666,12.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,BOR,PIA,13.0,20.333,11.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,LEC,PIA,15.0,19.333,9.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,BOT,PIA,15.0,20.0,1.666,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,ALB,PIA,16.0,21.666,10.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,COL,PIA,16.0,21.666,19.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,LIN,PIA,16.0,19.666,0.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_19,GAS,PIA,19.0,23.333,29.666,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,RUS,RUS,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,LEC,RUS,5.0,51.0,-9.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,HAM,RUS,5.0,18.0,-1.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,NOR,RUS,8.0,53.333,-9.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,VER,RUS,9.0,50.083,-12.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,ALB,RUS,11.0,63.333,-9.583,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,ANT,RUS,12.0,0.0,-3.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,LIN,RUS,12.0,44.333,-12.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,LAW,RUS,12.0,64.833,-10.583,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,OCO,RUS,12.0,62.666,-4.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,BOR,RUS,13.0,38.833,-6.083,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,HAD,RUS,13.0,61.0,-1.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,COL,RUS,14.0,55.333,-11.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,ALO,RUS,14.0,68.083,-4.583,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,STR,RUS,15.0,58.0,-8.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,BEA,RUS,16.0,54.833,0.417,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,SAI,RUS,17.0,50.333,1.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,BOT,RUS,22.0,61.666,16.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,PER,RUS,22.0,70.583,-1.583,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_02,GAS,RUS,24.0,55.833,-3.333,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,LEC,LEC,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,STR,LEC,2.0,8.6,-0.4,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,VER,LEC,3.0,-3.8,6.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,RUS,LEC,3.0,4.4,-9.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,ALB,LEC,4.0,-0.8,15.2,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,HAM,LEC,5.0,-3.2,15.2,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,NOR,LEC,6.0,2.0,1.4,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,BEA,LEC,7.0,12.65,20.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,SAI,LEC,7.0,9.15,-9.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,ALO,LEC,8.0,-0.4,3.6,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,LIN,LEC,9.0,-0.4,3.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,HAD,LEC,9.0,8.9,10.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,COL,LEC,10.0,5.65,7.25,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,BOR,LEC,10.0,11.0,0.6,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,OCO,LEC,11.0,2.4,10.8,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,PER,LEC,11.0,15.567,22.667,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,ANT,LEC,13.0,-6.0,8.8,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,LAW,LEC,13.0,-1.6,7.4,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,GAS,LEC,15.0,9.4,9.4,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_05,BOT,LEC,18.0,11.4,22.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,SAI,SAI,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,RUS,SAI,5.0,-1.0,8.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,ALB,SAI,6.0,-1.0,16.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,ANT,SAI,9.0,6.0,0.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,NOR,SAI,9.0,3.5,4.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,BEA,SAI,9.0,5.0,7.833,session_best
