season,round,event,session,driver,lap_number,compound,stint,segment_id,entry_speed_kph,terminal_speed_kph,acceleration_score,drs_active_pct,clipping_proxy_score,segmentation_confidence
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_12,321.5,302.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_15,281.5,285.0,0.0292,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_20,273.0,299.5,0.2208,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_01,292.0,245.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_09,274.0,300.5,0.2208,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_10,306.0,319.0,0.1083,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_11,320.0,313.5,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_12,313.0,301.0,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_15,274.0,278.0,0.0333,0.0,0.2,0.55
2026,1,Australian Grand Prix,Q,PER,6,SOFT,,australian-grand-prix_straight_20,279.0,302.0,0.1917,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_01,292.0,289.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_09,286.5,305.5,0.1583,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_10,307.0,317.0,0.0833,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_11,317.5,308.0,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_12,302.5,264.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_15,293.0,292.0,0.0,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,PIA,25,SOFT,,australian-grand-prix_straight_20,283.0,298.5,0.1292,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_01,284.0,298.0,0.1167,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_09,282.5,303.0,0.1708,0.0,0.0,0.55
