season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,throttle_pickup_distance_m,throttle_pickup_time_s,full_throttle_exit_distance_m,traction_exit_score
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4470.211,69.682,,0.3783
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4724.459,76.561,4771.259,1.0
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,355.942,5.088,407.675,0.9975
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1093.628,17.168,1263.089,0.9975
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1324.632,22.648,1324.632,1.0
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3148.76,46.449,3148.76,0.2729
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3937.43,57.288,3937.43,0.5837
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4192.824,62.648,4192.824,0.9407
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4468.934,67.169,4468.934,0.5381
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4720.051,73.409,4805.629,1.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,376.696,5.33,411.462,0.9958
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1095.708,16.89,1279.177,0.86
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1315.599,22.21,1315.599,1.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3151.658,45.971,3151.658,0.1945
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3938.765,56.73,3938.765,0.5973
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4194.255,62.13,4194.255,0.9362
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4463.138,66.531,4463.138,0.4118
