season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3246.727,0.4,26.944,237.0,0.1667,0.5344
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3996.296,2.32,113.189,121.0,0.4762,0.2458
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4319.401,0.401,26.288,236.0,0.0556,0.4846
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4522.367,2.479,98.979,98.0,0.4074,0.2193
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,285.162,1.72,94.4,163.0,0.3333,0.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1052.119,2.441,86.833,102.0,0.3636,0.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3216.447,0.6,44.522,262.0,0.1818,0.2567
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4002.143,2.281,116.528,125.0,0.3636,0.2584
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4521.516,1.76,71.156,107.0,0.3333,0.239
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,264.665,1.4,88.967,180.0,0.3529,0.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1051.815,0.68,21.356,109.0,0.1429,0.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3228.995,0.32,22.933,258.0,0.0769,0.3219
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4014.219,1.72,83.844,131.0,0.3,0.3322
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4514.418,2.601,115.55,101.0,0.4348,0.25
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,280.518,1.001,61.023,191.0,0.2353,0.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1053.459,1.04,42.089,118.0,0.1852,0.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3220.835,0.4,28.711,254.0,0.1333,0.2473
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4022.632,1.52,75.644,136.0,0.3684,0.3421
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4549.958,2.239,83.994,100.0,0.2917,0.3228
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,271.298,0.96,59.556,188.0,0.2,0.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1052.473,1.6,54.711,101.0,0.2381,0.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3218.199,1.12,82.567,246.0,0.3077,0.2865
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4022.696,1.561,79.526,134.0,0.2381,0.3478
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4529.738,2.439,101.822,98.0,0.3913,0.242
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,279.962,1.68,93.567,162.0,0.3529,0.0
