date,session_key,pit_duration,meeting_key,stop_duration,lap_number,driver_number,lane_duration
2026-03-14T07:26:36.917000+00:00,11241,396.9,1280,,9,87,396.9
2026-03-14T07:27:14.105000+00:00,11241,392.3,1280,,10,5,392.3
2026-03-14T07:27:21.161000+00:00,11241,427.5,1280,,10,41,427.5
2026-03-14T07:28:04.803000+00:00,11241,474.4,1280,,10,10,474.4
2026-03-14T07:28:06.876000+00:00,11241,459.6,1280,,10,43,459.6
2026-03-14T07:28:36.152000+00:00,11241,547.2,1280,,10,30,547.2
2026-03-14T07:33:20.892000+00:00,11241,118.9,1280,,10,81,118.9
2026-03-14T07:33:25.473000+00:00,11241,171.1,1280,,11,16,171.1
2026-03-14T07:33:33.163000+00:00,11241,166.2,1280,,10,44,166.2
2026-03-14T07:33:42.307000+00:00,11241,150.3,1280,,10,1,150.3
2026-03-14T07:35:21.280000+00:00,11241,224.2,1280,,10,27,224.2
2026-03-14T07:35:25.460000+00:00,11241,282.1,1280,,7,12,282.1
2026-03-14T07:35:35.534000+00:00,11241,311.5,1280,,7,63,311.5
2026-03-14T07:35:38.654000+00:00,11241,274.7,1280,,12,6,274.7
2026-03-14T07:35:43.677000+00:00,11241,258.4,1280,,12,3,258.4
2026-03-14T07:35:58.932000+00:00,11241,209.1,1280,,13,5,209.1
2026-03-14T07:36:06.383000+00:00,11241,199.1,1280,,13,41,199.1
2026-03-14T07:36:13.573000+00:00,11241,140.2,1280,,13,30,140.2
2026-03-14T07:36:21.276000+00:00,11241,257.1,1280,,12,31,257.1
2026-03-14T07:36:31.792000+00:00,11241,265.4,1280,,12,87,265.4
2026-03-14T07:36:49.274000+00:00,11241,199.3,1280,,13,10,199.3
2026-03-14T07:36:52.326000+00:00,11241,199.2,1280,,13,43,199.2
2026-03-14T07:47:02.986000+00:00,11241,373.5,1280,,10,12,373.5
2026-03-14T07:47:07.057000+00:00,11241,359.6,1280,,10,63,359.6
2026-03-14T07:47:12.920000+00:00,11241,395.2,1280,,15,16,395.2
2026-03-14T07:47:22.073000+00:00,11241,393.9,1280,,14,44,393.9
2026-03-14T07:47:36.941000+00:00,11241,451.7,1280,,14,87,451.7
2026-03-14T07:48:47.773000+00:00,11241,390.5,1280,,16,10,390.5
2026-03-14T07:48:53.356000+00:00,11241,373.5,1280,,15,1,373.5
2026-03-14T07:48:57.291000+00:00,11241,396.8,1280,,15,81,396.8
2026-03-14T07:49:04.224000+00:00,11241,482.2,1280,,15,6,482.2
2026-03-14T07:49:16.120000+00:00,11241,482.5,1280,,15,3,482.5
2026-03-14T07:55:59.926000+00:00,11241,235.5,1280,,13,12,235.5
2026-03-14T07:56:07.161000+00:00,11241,115.5,1280,,18,1,115.5
2026-03-14T07:56:11.067000+00:00,11241,222.1,1280,,18,16,222.1
2026-03-14T07:56:19.176000+00:00,11241,219.3,1280,,17,44,219.3
2026-03-14T07:56:31.395000+00:00,11241,142.5,1280,,19,10,142.5
2026-03-14T07:56:37.077000+00:00,11241,216.8,1280,,17,87,216.8
2026-03-14T07:56:44.376000+00:00,11241,139.3,1280,,18,81,139.3
2026-03-14T07:56:55.909000+00:00,11241,143.8,1280,,18,6,143.8
2026-03-14T07:56:59.660000+00:00,11241,146.3,1280,,18,3,146.3
2026-03-14T07:57:53.956000+00:00,11241,409.7,1280,,11,63,409.7
