date,session_key,lap_number,driver_number,lane_duration,stop_duration,pit_duration,meeting_key
2026-03-27T02:43:12.976000+00:00,11246,3,5,428.0,,428.0,1281
2026-03-27T02:43:23.082000+00:00,11246,6,87,214.1,,214.1,1281
2026-03-27T02:47:39.936000+00:00,11246,4,18,656.8,,656.8,1281
2026-03-27T02:47:46.326000+00:00,11246,9,6,39.0,,39.0,1281
2026-03-27T02:48:18.186000+00:00,11246,5,43,595.1,,595.1,1281
2026-03-27T02:51:21.275000+00:00,11246,12,41,30.7,,30.7,1281
2026-03-27T02:51:37.766000+00:00,11246,10,44,303.2,,303.2,1281
2026-03-27T02:51:42.651000+00:00,11246,2,1,1132.6,,1132.6,1281
2026-03-27T02:52:04.311000+00:00,11246,9,63,391.0,,391.0,1281
2026-03-27T02:52:35.280000+00:00,11246,10,12,315.4,,315.4,1281
2026-03-27T02:52:44.766000+00:00,11246,9,16,474.7,,474.7,1281
2026-03-27T02:53:43.253000+00:00,11246,11,44,22.5,,22.5,1281
2026-03-27T02:54:55.308000+00:00,11246,10,16,21.8,,21.8,1281
2026-03-27T02:55:48.066000+00:00,11246,9,27,420.7,,420.7,1281
2026-03-27T02:56:32.370000+00:00,11246,9,3,585.8,,585.8,1281
2026-03-27T02:57:47.721000+00:00,11246,9,11,714.7,,714.7,1281
2026-03-27T02:58:17.671000+00:00,11246,11,6,421.7,,421.7,1281
2026-03-27T02:58:27.509000+00:00,11246,12,30,426.4,,426.4,1281
2026-03-27T02:58:39.007000+00:00,11246,14,41,234.7,,234.7,1281
2026-03-27T02:59:28.737000+00:00,11246,11,87,404.1,,404.1,1281
2026-03-27T03:00:18.202000+00:00,11246,5,34,1289.8,,1289.8,1281
2026-03-27T03:00:29.363000+00:00,11246,11,10,617.7,,617.7,1281
2026-03-27T03:02:13.897000+00:00,11246,10,55,845.7,,845.7,1281
2026-03-27T03:02:24.023000+00:00,11246,10,77,895.1,,895.1,1281
2026-03-27T03:02:27.868000+00:00,11246,12,3,41.2,,41.2,1281
2026-03-27T03:02:45.385000+00:00,11246,11,16,351.1,,351.1,1281
2026-03-27T03:06:08.795000+00:00,11246,14,27,72.4,,72.4,1281
2026-03-27T03:06:15.037000+00:00,11246,11,81,961.4,,961.4,1281
2026-03-27T03:06:44.898000+00:00,11246,14,10,36.3,,36.3,1281
2026-03-27T03:06:52.522000+00:00,11246,12,44,675.5,,675.5,1281
2026-03-27T03:07:21.724000+00:00,11246,11,31,549.5,,549.5,1281
2026-03-27T03:08:11.711000+00:00,11246,11,43,608.4,,608.4,1281
2026-03-27T03:08:25.244000+00:00,11246,13,5,444.0,,444.0,1281
2026-03-27T03:10:26.543000+00:00,11246,12,18,429.2,,429.2,1281
2026-03-27T03:10:32.019000+00:00,11246,16,63,312.9,,312.9,1281
2026-03-27T03:11:04.705000+00:00,11246,16,12,440.9,,440.9,1281
2026-03-27T03:11:23.907000+00:00,11246,14,23,405.4,,405.4,1281
2026-03-27T03:13:14.344000+00:00,11246,15,3,340.4,,340.4,1281
2026-03-27T03:13:46.087000+00:00,11246,14,31,52.7,,52.7,1281
2026-03-27T03:14:21.524000+00:00,11246,16,6,417.0,,417.0,1281
2026-03-27T03:14:29.667000+00:00,11246,14,11,458.9,,458.9,1281
2026-03-27T03:16:17.798000+00:00,11246,17,87,280.2,,280.2,1281
2026-03-27T03:17:50.218000+00:00,11246,12,1,464.1,,464.1,1281
2026-03-27T03:18:59.710000+00:00,11246,18,27,329.7,,329.7,1281
2026-03-27T03:20:42.688000+00:00,11246,17,77,288.5,,288.5,1281
2026-03-27T03:20:42.904000+00:00,11246,18,10,385.2,,385.2,1281
2026-03-27T03:21:17.641000+00:00,11246,20,30,485.4,,485.4,1281
2026-03-27T03:21:23.250000+00:00,11246,19,23,36.9,,36.9,1281
2026-03-27T03:21:41.303000+00:00,11246,23,41,351.8,,351.8,1281
2026-03-27T03:22:00.460000+00:00,11246,20,55,45.0,,45.0,1281
2026-03-27T03:22:17.163000+00:00,11246,17,81,303.9,,303.9,1281
2026-03-27T03:22:17.973000+00:00,11246,16,18,278.5,,278.5,1281
2026-03-27T03:22:51.644000+00:00,11246,19,16,315.0,,315.0,1281
2026-03-27T03:23:02.585000+00:00,11246,17,31,217.8,,217.8,1281
2026-03-27T03:23:45.694000+00:00,11246,24,41,25.1,,25.1,1281
2026-03-27T03:24:58.401000+00:00,11246,22,6,39.6,,39.6,1281
2026-03-27T03:26:16.938000+00:00,11246,19,44,296.2,,296.2,1281
2026-03-27T03:28:54.348000+00:00,11246,24,12,295.5,,295.5,1281
2026-03-27T03:29:32.483000+00:00,11246,20,23,375.8,,375.8,1281
2026-03-27T03:29:59.940000+00:00,11246,25,63,284.7,,284.7,1281
