date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number
2026-03-06T02:16:46.924000+00:00,11227,1279,346.6,,346.6,12,15
2026-03-06T02:18:31.489000+00:00,11227,1279,613.4,,613.4,63,18
2026-03-06T02:19:29.318000+00:00,11227,1279,14.3,,14.3,16,25
2026-03-06T02:20:15.895000+00:00,11227,1279,107.6,,107.6,55,22
2026-03-06T02:20:59.949000+00:00,11227,1279,14.8,,14.8,11,13
2026-03-06T02:21:28.670000+00:00,11227,1279,512.4,,512.4,3,20
2026-03-06T02:21:32.076000+00:00,11227,1279,503.7,,503.7,81,14
2026-03-06T02:21:41.165000+00:00,11227,1279,472.7,,472.7,30,22
2026-03-06T02:21:44.685000+00:00,11227,1279,393.9,,393.9,43,19
2026-03-06T02:21:52.596000+00:00,11227,1279,293.3,,293.3,5,17
2026-03-06T02:22:47.762000+00:00,11227,1279,427.8,,427.8,31,22
2026-03-06T02:22:51.247000+00:00,11227,1279,399.7,,399.7,87,20
2026-03-06T02:23:10.540000+00:00,11227,1279,609.0,,609.0,27,16
2026-03-06T02:23:39.152000+00:00,11227,1279,611.5,,611.5,6,18
2026-03-06T02:23:54.321000+00:00,11227,1279,14.5,,14.5,5,18
2026-03-06T02:24:35.286000+00:00,11227,1279,298.6,,298.6,44,25
2026-03-06T02:25:22.747000+00:00,11227,1279,16.1,,16.1,27,17
2026-03-06T02:27:25.871000+00:00,11227,1279,16.5,,16.5,27,18
2026-03-06T02:27:48.641000+00:00,11227,1279,14.4,,14.4,31,25
2026-03-06T02:28:34.520000+00:00,11227,1279,20.4,,20.4,63,24
2026-03-06T02:28:45.751000+00:00,11227,1279,25.6,,25.6,12,22
2026-03-06T02:29:30.973000+00:00,11227,1279,17.4,,17.4,27,19
