date,session_key,driver_number,lane_duration,meeting_key,pit_duration,lap_number,stop_duration
2026-06-06T14:22:42.518000+00:00,11295,81,,1286,,11,
2026-06-06T14:22:49.019000+00:00,11295,6,596.5,1286,596.5,9,
2026-06-06T14:32:04.458000+00:00,11295,10,429.6,1286,429.6,14,
2026-06-06T14:32:09.204000+00:00,11295,43,379.2,1286,379.2,14,
2026-06-06T14:32:16.177000+00:00,11295,3,1052.5,1286,1052.5,9,
2026-06-06T14:32:18.909000+00:00,11295,55,339.1,1286,339.1,14,
2026-06-06T14:32:24.231000+00:00,11295,30,1397.6,1286,1397.6,12,
2026-06-06T14:32:34.037000+00:00,11295,23,351.8,1286,351.8,15,
2026-06-06T14:32:40.624000+00:00,11295,41,508.0,1286,508.0,13,
2026-06-06T14:32:49.471000+00:00,11295,27,1337.5,1286,1337.5,12,
2026-06-06T14:32:55.981000+00:00,11295,16,1038.1,1286,1038.1,11,
2026-06-06T14:33:07.334000+00:00,11295,44,,1286,,11,
2026-06-06T14:33:10.844000+00:00,11295,81,532.5,1286,532.5,12,
2026-06-06T14:33:19.049000+00:00,11295,6,538.9,1286,538.9,10,
2026-06-06T14:33:27.178000+00:00,11295,1,,1286,,12,
2026-06-06T14:33:33.659000+00:00,11295,63,,1286,,11,
2026-06-06T14:33:40.840000+00:00,11295,12,,1286,,11,
2026-06-06T14:39:25.581000+00:00,11295,81,36.7,1286,36.7,16,
2026-06-06T14:39:37.858000+00:00,11295,44,57.5,1286,57.5,15,
2026-06-06T14:40:24.909000+00:00,11295,43,87.8,1286,87.8,19,
2026-06-06T14:40:30.675000+00:00,11295,10,96.3,1286,96.3,19,
2026-06-06T14:41:23.444000+00:00,11295,30,36.0,1286,36.0,18,
2026-06-06T14:41:44.450000+00:00,11295,41,49.4,1286,49.4,19,
2026-06-06T14:41:59.567000+00:00,11295,1,28.3,1286,28.3,18,
2026-06-06T14:42:10.182000+00:00,11295,27,61.5,1286,61.5,18,
2026-06-06T14:42:21.393000+00:00,11295,63,25.7,1286,25.7,17,
2026-06-06T14:42:30.235000+00:00,11295,12,29.1,1286,29.1,17,
2026-06-06T14:42:35.309000+00:00,11295,3,132.9,1286,132.9,15,
2026-06-06T14:42:44.736000+00:00,11295,55,119.6,1286,119.6,20,
2026-06-06T14:42:51.195000+00:00,11295,23,118.1,1286,118.1,21,
2026-06-06T14:42:59.342000+00:00,11295,6,255.4,1286,255.4,14,
2026-06-06T14:43:10.849000+00:00,11295,44,51.4,1286,51.4,17,
2026-06-06T14:43:17.027000+00:00,11295,16,42.3,1286,42.3,18,
2026-06-06T14:54:03.334000+00:00,11295,81,374.3,1286,374.3,22,
2026-06-06T14:54:10.652000+00:00,11295,1,415.0,1286,415.0,22,
2026-06-06T14:54:17.499000+00:00,11295,16,317.1,1286,317.1,22,
2026-06-06T14:54:30.454000+00:00,11295,44,336.2,1286,336.2,21,
2026-06-06T14:54:37.320000+00:00,11295,30,476.7,1286,476.7,22,
2026-06-06T14:54:49.769000+00:00,11295,63,423.9,1286,423.9,21,
2026-06-06T14:54:56.642000+00:00,11295,12,425.6,1286,425.6,21,
2026-06-06T14:55:04.443000+00:00,11295,10,365.6,1286,365.6,25,
2026-06-06T14:55:16.609000+00:00,11295,3,444.4,1286,444.4,19,
2026-06-06T14:55:24.216000+00:00,11295,6,417.7,1286,417.7,18,
2026-06-06T15:01:12.092000+00:00,11295,16,175.6,1286,175.6,25,
2026-06-06T15:02:20.930000+00:00,11295,10,110.8,1286,110.8,29,
2026-06-06T15:02:25.493000+00:00,11295,30,146.2,1286,146.2,26,
2026-06-06T15:02:30.820000+00:00,11295,81,184.8,1286,184.8,26,
2026-06-06T15:02:43.104000+00:00,11295,1,195.0,1286,195.0,26,
2026-06-06T15:02:59.261000+00:00,11295,44,177.5,1286,177.5,25,
2026-06-06T15:03:07.271000+00:00,11295,3,156.0,1286,156.0,23,
2026-06-06T15:03:16.901000+00:00,11295,6,154.4,1286,154.4,22,
2026-06-06T15:03:29.317000+00:00,11295,63,197.7,1286,197.7,25,
2026-06-06T15:03:36.401000+00:00,11295,12,198.6,1286,198.6,25,
