id,race_id,driver_id,constructor_id,grid_position,finish_position,finish_status,points,laps_completed
2026-12-zandvoort|lawson,2026-12-zandvoort,lawson,red_bull,11,11,Finished,0.0,24
2026-12-zandvoort|colapinto,2026-12-zandvoort,colapinto,alpine,13,12,Finished,0.0,24
2026-12-zandvoort|tsunoda,2026-12-zandvoort,tsunoda,rb,12,13,Finished,0.0,24
2026-12-zandvoort|ocon,2026-12-zandvoort,ocon,haas,15,14,Finished,0.0,24
2026-12-zandvoort|bearman,2026-12-zandvoort,bearman,haas,17,15,Finished,0.0,24
2026-12-zandvoort|albon,2026-12-zandvoort,albon,williams,16,16,Finished,0.0,24
2026-12-zandvoort|stroll,2026-12-zandvoort,stroll,aston_martin,18,17,Finished,0.0,24
2026-12-zandvoort|alonso,2026-12-zandvoort,alonso,aston_martin,22,18,Finished,0.0,24
2026-12-zandvoort|bottas,2026-12-zandvoort,bottas,cadillac,19,19,Lapped,0.0,23
2026-12-zandvoort|sainz,2026-12-zandvoort,sainz,williams,21,20,Lapped,0.0,23
2026-12-zandvoort|perez,2026-12-zandvoort,perez,cadillac,20,21,Lapped,0.0,21
2026-12-zandvoort|hulkenberg,2026-12-zandvoort,hulkenberg,audi,14,22,Lapped,0.0,7
