date,session_key,lane_duration,meeting_key,pit_duration,stop_duration,lap_number,driver_number
2026-05-23T20:11:15.605000+00:00,11287,184.4,1285,184.4,,6,18
2026-05-23T20:11:40.024000+00:00,11287,164.8,1285,164.8,,6,27
2026-05-23T20:11:45.334000+00:00,11287,75.0,1285,75.0,,7,5
2026-05-23T20:11:47.019000+00:00,11287,141.7,1285,141.7,,7,77
2026-05-23T20:11:53.709000+00:00,11287,133.8,1285,133.8,,7,11
2026-05-23T20:25:06.573000+00:00,11287,367.9,1285,367.9,,11,43
2026-05-23T20:25:08.203000+00:00,11287,449.3,1285,449.3,,11,10
2026-05-23T20:25:14.326000+00:00,11287,414.2,1285,414.2,,11,1
2026-05-23T20:25:18.536000+00:00,11287,348.0,1285,348.0,,12,81
2026-05-23T20:25:24.413000+00:00,11287,386.8,1285,386.8,,13,30
2026-05-23T20:25:31.888000+00:00,11287,352.4,1285,352.4,,13,87
2026-05-23T20:25:32.793000+00:00,11287,321.0,1285,321.0,,13,55
2026-05-23T20:25:47.785000+00:00,11287,470.1,1285,470.1,,12,44
2026-05-23T20:25:51.720000+00:00,11287,482.7,1285,482.7,,12,16
2026-05-23T20:25:56.964000+00:00,11287,988.0,1285,988.0,,6,3
2026-05-23T20:26:11.253000+00:00,11287,937.1,1285,937.1,,6,6
2026-05-23T20:26:24.326000+00:00,11287,354.1,1285,354.1,,13,5
2026-05-23T20:26:29.340000+00:00,11287,976.6,1285,976.6,,7,63
2026-05-23T20:26:49.044000+00:00,11287,983.9,1285,983.9,,7,12
2026-05-23T20:26:56.420000+00:00,11287,406.2,1285,406.2,,12,27
2026-05-23T20:27:29.445000+00:00,11287,26.0,1285,26.0,,14,55
2026-05-23T20:27:35.033000+00:00,11287,571.0,1285,571.0,,13,41
2026-05-23T20:32:35.507000+00:00,11287,72.7,1285,72.7,,17,30
2026-05-23T20:32:54.567000+00:00,11287,27.0,1285,27.0,,16,27
2026-05-23T20:33:07.315000+00:00,11287,60.4,1285,60.4,,17,5
2026-05-23T20:33:14.249000+00:00,11287,145.8,1285,145.8,,15,43
2026-05-23T20:33:19.125000+00:00,11287,142.2,1285,142.2,,15,10
2026-05-23T20:33:42.536000+00:00,11287,90.8,1285,90.8,,11,63
2026-05-23T20:33:48.555000+00:00,11287,90.6,1285,90.6,,11,12
2026-05-23T20:34:19.119000+00:00,11287,82.0,1285,82.0,,18,87
2026-05-23T20:34:39.347000+00:00,11287,116.1,1285,116.1,,17,81
2026-05-23T20:34:55.696000+00:00,11287,113.3,1285,113.3,,17,44
2026-05-23T20:35:16.875000+00:00,11287,131.7,1285,131.7,,11,3
2026-05-23T20:35:25.904000+00:00,11287,126.5,1285,126.5,,11,6
2026-05-23T20:35:40.664000+00:00,11287,117.8,1285,117.8,,17,1
2026-05-23T20:35:45.512000+00:00,11287,161.4,1285,161.4,,18,55
2026-05-23T20:35:51.587000+00:00,11287,150.8,1285,150.8,,17,41
2026-05-23T20:36:16.393000+00:00,11287,108.0,1285,108.0,,18,16
2026-05-23T20:47:02.339000+00:00,11287,373.3,1285,373.3,,15,3
2026-05-23T20:47:06.956000+00:00,11287,359.4,1285,359.4,,15,6
2026-05-23T20:47:11.780000+00:00,11287,322.7,1285,322.7,,22,81
2026-05-23T20:47:18.254000+00:00,11287,356.0,1285,356.0,,21,1
2026-05-23T20:47:29.600000+00:00,11287,419.3,1285,419.3,,21,44
2026-05-23T20:47:36.783000+00:00,11287,337.5,1285,337.5,,22,16
2026-05-23T20:47:45.220000+00:00,11287,354.6,1285,354.6,,21,41
2026-05-23T20:47:56.367000+00:00,11287,438.1,1285,438.1,,16,63
2026-05-23T20:48:02.010000+00:00,11287,344.0,1285,344.0,,17,12
2026-05-23T20:48:10.683000+00:00,11287,442.7,1285,442.7,,20,43
2026-05-23T20:53:37.863000+00:00,11287,87.5,1285,87.5,,19,63
2026-05-23T20:54:59.922000+00:00,11287,148.7,1285,148.7,,19,3
2026-05-23T20:55:07.506000+00:00,11287,107.9,1285,107.9,,25,41
2026-05-23T20:55:11.662000+00:00,11287,97.5,1285,97.5,,21,12
2026-05-23T20:55:14.776000+00:00,11287,118.5,1285,118.5,,26,16
2026-05-23T20:55:31.702000+00:00,11287,149.5,1285,149.5,,25,44
2026-05-23T20:55:41.058000+00:00,11287,169.1,1285,169.1,,25,1
2026-05-23T20:55:48.248000+00:00,11287,179.4,1285,179.4,,26,81
2026-05-23T20:55:56.217000+00:00,11287,198.6,1285,198.6,,19,6
2026-05-23T20:56:03.433000+00:00,11287,129.1,1285,129.1,,24,43
