id,session_id,event_entry_id,race_id,driver_id,constructor_id,stint_number,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,session_code,source_label
2026-01-albert_park|R|norris|3,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,3,MEDIUM,24,83.35058333333335,-0.2777391304347822,-0.6704347826086956,1.0,24.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|ocon|1,2026-01-albert_park|R,2026-01-albert_park|ocon,2026-01-albert_park,ocon,haas,1,MEDIUM,11,88.81036363636362,-0.1402999999999991,-0.3545454545454546,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|ocon|2,2026-01-albert_park|R,2026-01-albert_park|ocon,2026-01-albert_park,ocon,haas,2,HARD,46,87.82036956521738,-0.1314222222222222,-0.3518347209374036,1.0,46.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|perez|1,2026-01-albert_park|R,2026-01-albert_park|perez,2026-01-albert_park,perez,cadillac,1,MEDIUM,18,94.29555555555557,0.2251176470588226,0.2694889362743874,1.0,18.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|perez|2,2026-01-albert_park|R,2026-01-albert_park|perez,2026-01-albert_park,perez,cadillac,2,HARD,25,89.89304,0.0610833333333336,0.0784615384615384,1.0,25.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|perez|3,2026-01-albert_park|R,2026-01-albert_park|perez,2026-01-albert_park,perez,cadillac,3,SOFT,12,87.50041666666668,-0.4059090909090912,0.0209790209790209,1.0,12.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|russell|1,2026-01-albert_park|R,2026-01-albert_park|russell,2026-01-albert_park,russell,mercedes,1,MEDIUM,12,88.90633333333334,0.1157272727272723,-0.1888111888111888,1.0,12.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|russell|2,2026-01-albert_park|R,2026-01-albert_park|russell,2026-01-albert_park,russell,mercedes,2,HARD,46,85.21576086956522,-0.3306444444444446,-0.225669175216423,1.0,46.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|sainz|1,2026-01-albert_park|R,2026-01-albert_park|sainz,2026-01-albert_park,sainz,williams,1,SOFT,11,89.778,-0.1778000000000005,-0.4000000000000001,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|sainz|2,2026-01-albert_park|R,2026-01-albert_park|sainz,2026-01-albert_park,sainz,williams,2,HARD,22,91.80086363636364,0.046238095238094,0.3178994918125353,1.0,22.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|sainz|3,2026-01-albert_park|R,2026-01-albert_park|sainz,2026-01-albert_park,sainz,williams,3,MEDIUM,12,88.99116666666667,0.2279999999999996,0.2517482517482518,1.0,12.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|sainz|4,2026-01-albert_park|R,2026-01-albert_park|sainz,2026-01-albert_park,sainz,williams,4,SOFT,11,86.23781818181817,-0.5534000000000006,-0.4181818181818182,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|stroll|1,2026-01-albert_park|R,2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,1,MEDIUM,11,93.52336363636364,-0.1158999999999991,-0.4363636363636364,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|stroll|2,2026-01-albert_park|R,2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,2,HARD,15,95.25426666666664,-1.1121428571428569,0.0428571428571428,1.0,15.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|stroll|3,2026-01-albert_park|R,2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,3,SOFT,7,90.35014285714286,-1.6144999999999996,0.2142857142857143,1.0,7.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|stroll|4,2026-01-albert_park|R,2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,4,SOFT,5,91.9252,0.240000000000002,0.3999999999999999,1.0,5.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|stroll|5,2026-01-albert_park|R,2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,5,SOFT,4,87.5105,-2.350999999999999,-0.1999999999999999,1.0,4.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|max_verstappen|1,2026-01-albert_park|R,2026-01-albert_park|max_verstappen,2026-01-albert_park,max_verstappen,red_bull,1,HARD,18,91.1228888888889,0.2044117647058828,-0.1578947368421052,1.0,18.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|max_verstappen|2,2026-01-albert_park|R,2026-01-albert_park|max_verstappen,2026-01-albert_park,max_verstappen,red_bull,2,MEDIUM,23,86.40760869565217,0.018318181818182,0.4703557312252964,1.0,23.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|max_verstappen|3,2026-01-albert_park|R,2026-01-albert_park|max_verstappen,2026-01-albert_park,max_verstappen,red_bull,3,HARD,17,83.1665294117647,-0.2786249999999999,0.5628449862329835,1.0,17.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|alonso|1,2026-02-shanghai|R,2026-02-shanghai|alonso,2026-02-shanghai,alonso,aston_martin,1,HARD,31,105.5505806451613,0.5224333333333334,-0.642741935483871,1.0,31.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|alonso|2,2026-02-shanghai|R,2026-02-shanghai|alonso,2026-02-shanghai,alonso,aston_martin,2,MEDIUM,1,127.515,0.0,0.0,1.0,1.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|antonelli|1,2026-02-shanghai|R,2026-02-shanghai|antonelli,2026-02-shanghai,antonelli,mercedes,1,MEDIUM,10,98.73170000000002,0.7260000000000006,-0.3212121212121211,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|antonelli|2,2026-02-shanghai|R,2026-02-shanghai|antonelli,2026-02-shanghai,antonelli,mercedes,2,HARD,44,97.5124318181818,-0.2797209302325579,-0.6491419715788791,2.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|bearman|1,2026-02-shanghai|R,2026-02-shanghai|bearman,2026-02-shanghai,bearman,haas,1,MEDIUM,10,102.18950000000002,0.2065555555555549,-0.1272727272727272,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|bearman|2,2026-02-shanghai|R,2026-02-shanghai|bearman,2026-02-shanghai,bearman,haas,2,HARD,45,99.53222222222222,-0.1987727272727271,-0.8882740447957838,2.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|bottas|1,2026-02-shanghai|R,2026-02-shanghai|bottas,2026-02-shanghai,bottas,cadillac,1,MEDIUM,10,104.2956,0.33488888888889,-0.1999999999999999,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|bottas|2,2026-02-shanghai|R,2026-02-shanghai|bottas,2026-02-shanghai,bottas,cadillac,2,HARD,44,101.18240909090908,-0.0674651162790696,-0.6938473482592279,2.0,45.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|colapinto|1,2026-02-shanghai|R,2026-02-shanghai|colapinto,2026-02-shanghai,colapinto,alpine,1,HARD,31,102.78864516129036,0.3409333333333336,-0.3911290322580646,1.0,32.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|colapinto|2,2026-02-shanghai|R,2026-02-shanghai|colapinto,2026-02-shanghai,colapinto,alpine,2,MEDIUM,23,98.74217391304346,-0.4089090909090913,0.6274703557312253,1.0,23.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|gasly|1,2026-02-shanghai|R,2026-02-shanghai|gasly,2026-02-shanghai,gasly,alpine,1,MEDIUM,10,100.4585,0.6686666666666667,-0.2848484848484848,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|gasly|2,2026-02-shanghai|R,2026-02-shanghai|gasly,2026-02-shanghai,gasly,alpine,2,HARD,44,98.68079545454545,-0.3218372093023255,-0.9063039577140796,3.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hadjar|1,2026-02-shanghai|R,2026-02-shanghai|hadjar,2026-02-shanghai,hadjar,red_bull,1,SOFT,1,123.643,0.0,0.0,4.0,4.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hadjar|2,2026-02-shanghai|R,2026-02-shanghai|hadjar,2026-02-shanghai,hadjar,red_bull,2,HARD,9,104.33355555555556,-0.0187499999999989,-0.1833333333333333,1.0,9.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hadjar|3,2026-02-shanghai|R,2026-02-shanghai|hadjar,2026-02-shanghai,hadjar,red_bull,3,HARD,45,99.2349111111111,-0.0406136363636365,-0.8093544137022397,2.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hamilton|1,2026-02-shanghai|R,2026-02-shanghai|hamilton,2026-02-shanghai,hamilton,ferrari,1,MEDIUM,10,99.58950000000002,0.9914444444444448,-0.1757575757575757,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hamilton|2,2026-02-shanghai|R,2026-02-shanghai|hamilton,2026-02-shanghai,hamilton,ferrari,2,HARD,44,98.01490909090909,-0.2991395348837209,-0.8107403366674004,3.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hulkenberg|1,2026-02-shanghai|R,2026-02-shanghai|hulkenberg,2026-02-shanghai,hulkenberg,audi,1,HARD,34,102.48461764705884,0.2431212121212128,-0.6595874713521771,1.0,35.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|hulkenberg|2,2026-02-shanghai|R,2026-02-shanghai|hulkenberg,2026-02-shanghai,hulkenberg,audi,2,MEDIUM,20,99.0691,-0.4762631578947371,0.3774436090225563,1.0,20.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|lawson|1,2026-02-shanghai|R,2026-02-shanghai|lawson,2026-02-shanghai,lawson,rb,1,MEDIUM,9,101.03044444444444,0.0118749999999998,0.2333333333333333,1.0,9.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|lawson|2,2026-02-shanghai|R,2026-02-shanghai|lawson,2026-02-shanghai,lawson,rb,2,HARD,47,101.4238510638298,-0.3312391304347825,-0.9813829787234044,1.0,47.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|leclerc|1,2026-02-shanghai|R,2026-02-shanghai|leclerc,2026-02-shanghai,leclerc,ferrari,1,MEDIUM,10,99.8919,0.7851111111111114,-0.1878787878787878,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|leclerc|2,2026-02-shanghai|R,2026-02-shanghai|leclerc,2026-02-shanghai,leclerc,ferrari,2,HARD,44,98.0378863636364,-0.3218604651162791,-0.6563777307963353,3.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|arvid_lindblad|1,2026-02-shanghai|R,2026-02-shanghai|arvid_lindblad,2026-02-shanghai,arvid_lindblad,rb,1,HARD,42,103.38185714285711,0.2419756097560966,-0.5469794583315498,1.0,42.0,R,fastf1_session_stint_v1
