session_id,season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HAM,Ferrari,2,HARD,29,99.25720689655174,-0.5071785714285711,-0.1118226600985221,2,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HUL,Audi,1,MEDIUM,23,99.67921739130432,0.2097727272727277,-0.3735177865612649,1,23
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HUL,Audi,2,HARD,29,99.74517241379309,-0.699821428571428,-0.7817733990147782,1,30
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LAW,Racing Bulls,1,MEDIUM,22,98.33227272727272,0.1753333333333334,-0.1101072840203275,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LAW,Racing Bulls,2,HARD,30,100.668,-0.7308620689655175,-0.6342602892102336,1,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LEC,Ferrari,1,MEDIUM,17,95.5539411764706,0.0679999999999996,0.2720588235294118,1,17
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LEC,Ferrari,2,HARD,35,100.6509142857143,0.0331470588235288,-0.7745098039215688,1,36
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LIN,Racing Bulls,1,MEDIUM,18,97.1381111111111,-0.0861176470588234,0.2818792321950489,1,18
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,LIN,Racing Bulls,2,HARD,34,101.30070588235291,-0.253757575757576,-0.8624904507257447,1,35
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,NOR,McLaren,1,MEDIUM,16,95.6816875,0.0677333333333327,0.1558823529411764,1,16
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,NOR,McLaren,2,HARD,36,100.69683333333334,-0.0493428571428576,-0.5943371943371945,1,37
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,OCO,Haas F1 Team,1,MEDIUM,19,96.92331578947368,-0.1674444444444442,0.3298245614035088,1,19
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,OCO,Haas F1 Team,2,HARD,33,101.28684848484848,-0.4259062500000001,-0.599264705882353,1,34
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,PER,Cadillac,1,MEDIUM,21,98.92857142857144,0.1207999999999998,0.0727272727272727,1,21
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,PER,Cadillac,2,HARD,32,103.073625,-0.5403548387096767,-0.8610703812316713,1,32
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,PIA,McLaren,1,MEDIUM,18,95.21627777777778,0.1211176470588233,-0.2136222910216718,1,18
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,PIA,McLaren,2,HARD,34,100.96617647058824,0.1513939393939396,-0.7625668449197861,1,35
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,RUS,Mercedes,1,MEDIUM,21,95.19995238095238,-0.0658999999999998,0.209090909090909,1,21
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,RUS,Mercedes,2,HARD,31,101.59332258064516,-0.2394666666666661,-0.7459677419354839,1,32
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,SAI,Williams,1,MEDIUM,22,98.7014090909091,0.1229523809523806,-0.4484609046382516,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,SAI,Williams,2,HARD,30,100.88926666666669,-0.7584137931034483,-0.6596218020022246,1,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,STR,Aston Martin,1,MEDIUM,21,99.4837619047619,0.0086000000000005,0.1071776607355057,1,21
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,STR,Aston Martin,2,HARD,3,119.86866666666668,-3.8329999999999984,-0.5,1,3
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,STR,Aston Martin,3,MEDIUM,6,120.11083333333332,-3.050800000000001,-0.7714285714285715,1,6
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,VER,Red Bull Racing,1,MEDIUM,22,97.30763636363636,0.2309999999999999,-0.5038125024399501,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,VER,Red Bull Racing,2,HARD,30,100.84223333333334,-0.6324827586206901,-0.525250278086763,1,31
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ALB,Williams,1,MEDIUM,27,105.52296296296298,-0.0537692307692317,-0.2954822954822955,1,27
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ALB,Williams,2,HARD,30,94.70416666666668,-0.3302413793103447,0.0335928809788654,1,30
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ALO,Aston Martin,1,MEDIUM,41,103.11392682926828,-0.0321999999999999,-0.3926829268292683,1,41
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ALO,Aston Martin,2,SOFT,15,96.43773333333334,-0.7360000000000001,-0.3107142857142856,1,15
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ANT,Mercedes,1,MEDIUM,25,102.87192,0.3699166666666666,-0.4407692307692307,1,26
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,ANT,Mercedes,2,HARD,31,92.81648387096772,-0.3274000000000001,0.0788465432445741,1,31
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BEA,Haas F1 Team,1,MEDIUM,26,105.995,0.0080000000000001,-0.325128205128205,1,26
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BEA,Haas F1 Team,2,HARD,30,94.99343333333334,-0.3182758620689656,0.611123470522803,1,30
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOR,Audi,1,MEDIUM,32,104.20334375,-0.0703225806451619,-0.7298387096774193,1,32
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOR,Audi,2,HARD,24,94.75495833333332,-0.4117826086956523,0.1260869565217391,1,24
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOT,Cadillac,1,MEDIUM,6,106.74616666666668,1.1707999999999998,0.2571428571428572,1,6
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOT,Cadillac,2,SOFT,15,110.70073333333332,0.2182857142857141,-0.4392857142857142,1,15
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOT,Cadillac,3,MEDIUM,9,98.94077777777775,-0.4738749999999996,0.0333333333333333,1,9
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,BOT,Cadillac,4,MEDIUM,25,99.04292,-0.3664583333333334,-0.1061538461538461,10,34
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,COL,Alpine,1,MEDIUM,31,103.68725806451612,0.2484333333333334,-0.3889505010188866,1,31
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,COL,Alpine,2,HARD,26,94.10919230769233,-0.39548,-0.1131623931623931,1,26
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,GAS,Alpine,1,MEDIUM,4,97.68025,-3.462333333333333,-1.0,1,4
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,HAD,Red Bull Racing,1,HARD,4,98.929,-3.745,-1.0,1,4
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,HAM,Ferrari,1,MEDIUM,27,104.91096296296298,0.4244230769230757,-0.0702075702075702,1,27
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,HAM,Ferrari,2,HARD,30,94.01433333333333,-0.2664137931034482,0.5671376161470912,1,30
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,HUL,Audi,1,MEDIUM,1,114.251,0.0,0.0,1,1
