session_id,season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,PER,Cadillac,regulations_2026_reset,1.25,55,86.141,86.07,90.88186046511628,0.0221904761904759,312.0,23.670909090909092,35.99999999999999,55.00727272727273,False,2.425454545454546,117.2,3.653333333333336,18.0,-0.7380833333333356
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,RUS,Mercedes,regulations_2026_reset,1.25,58,82.721,82.67,85.34731999999998,-0.0135918367346938,321.0,23.66379310344828,36.05862068965517,55.02931034482759,False,2.201724137931034,120.10344827586206,0.2333333333333342,5.0,0.0773333333333425
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,SAI,Williams,regulations_2026_reset,1.25,56,83.84283333333335,83.59,89.0258,-0.0689230769230769,320.0,23.669642857142858,36.04285714285714,54.955357142857146,False,2.375,120.0,1.3551666666666762,9.0,-0.3959999999999866
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,STR,Aston Martin,regulations_2026_reset,1.25,42,85.76966666666665,85.41,94.50045454545452,0.8430476190476187,304.0,23.566666666666663,36.023809523809526,55.21428571428572,False,2.319047619047619,120.23809523809524,3.2819999999999823,17.0,-0.2452499999999986
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,VER,Red Bull Racing,regulations_2026_reset,1.25,58,82.48766666666667,82.091,86.47013043478259,-0.0299111111111111,324.0,23.679310344827584,36.07413793103448,54.96724137931036,False,2.2431034482758623,119.96551724137932,0.0,1.0,-1.427583333333331
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,ALO,Aston Martin,regulations_2026_reset,1.25,32,99.76683333333334,99.721,105.94400000000002,0.1871153846153844,325.0,16.06875,24.746875000000003,52.696875,False,1.671875,94.03125,4.395666666666671,17.0,-0.6810833333333335
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,ANT,Mercedes,regulations_2026_reset,1.25,54,95.37116666666668,95.275,96.56558333333334,-0.0128936170212764,332.0,15.796296296296294,23.67222222222222,54.12777777777777,False,1.9444444444444444,96.37037037037037,0.0,1.0,-0.0669166666666711
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,BEA,Haas F1 Team,regulations_2026_reset,1.25,55,96.688,96.429,98.09808333333336,-0.0654255319148936,343.0,15.796363636363631,23.76545454545455,54.1290909090909,False,1.8890909090909087,94.96363636363635,1.316833333333335,9.0,0.1564166666666722
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,BOT,Cadillac,regulations_2026_reset,1.25,54,98.934,98.393,100.42025531914896,-0.0652826086956521,335.0,15.803703703703702,23.73333333333333,54.07037037037036,False,1.92962962962963,98.0,3.5628333333333444,16.0,0.0005833333333384
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,COL,Alpine,regulations_2026_reset,1.25,54,96.9165,96.783,100.86447826086956,-0.0149555555555555,338.0,15.798148148148146,23.68888888888889,54.07962962962962,False,1.8833333333333333,93.33333333333331,1.545333333333332,10.0,0.1492500000000092
